ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,0,0,nan,1000,1000,0.0,1000,0.2853,0,7.72
3.9,0,0,nan,1000,1000,0.0,1000,0.2741,0,7.62
3.8,0,0,nan,1000,1000,0.0,1000,0.2704,0,7.51
3.7,0,0,nan,1000,1000,0.0,1000,0.2646,0,7.42
3.6,0,0,nan,1000,1000,0.0,1000,0.2734,0,7.32
3.5,0,0,nan,1000,1000,0.0,1000,0.2636,0,7.22
3.4,0,0,nan,1000,1000,0.0,1000,0.2694,0,7.12
3.3,0,0,nan,1000,1000,0.0,1000,0.2727,0,7.02
3.2,0,0,nan,1000,1000,0.0,1000,0.2776,0,6.92
3.1,0,0,nan,1000,1000,0.0,1000,0.2744,0,6.82
3.0,0,0,nan,1000,1000,0.0,1000,0.2702,0,6.72
2.9,0,0,nan,1000,1000,0.0,1000,0.2596,0,6.62
2.8,0,0,nan,1000,1000,0.0,1000,0.2601,0,6.52
2.7,0,0,nan,1000,1000,0.0,1000,0.2599,0,6.42
2.6,0,0,nan,1000,1000,0.0,1000,0.2642,0,6.32
2.5,0,0,nan,1000,1000,0.0,1000,0.2696,0,6.22
2.4,0,0,nan,1000,1000,0.0,1000,0.2705,0,6.12
2.3,0,0,nan,1000,1000,0.0,1000,0.2619,0,6.02
2.2,0,0,nan,1000,1000,0.0,1000,0.2617,0,5.92
2.1,0,0,nan,1000,1000,0.0,1000,0.2536,0,5.82
2.0,0,0,nan,1000,1000,0.0,1000,0.2767,0,5.72
1.9,0,0,nan,1000,1000,0.0,1000,0.2613,0,5.62
1.8,0,0,nan,1000,1000,0.0,1000,0.2762,0,5.52
1.7,0,0,nan,1000,1000,0.0,1000,0.2962,0,5.42
1.6,0,0,nan,1000,1000,0.0,1000,0.274,0,5.32
1.5,0,0,nan,1000,1000,0.0,1000,0.286,0,5.22
1.4,0,0,nan,1000,1000,0.0,1000,0.264,0,5.12
1.3,0,0,nan,1000,999,0.1,999,0.2551,0,5.02
1.2,0,0,nan,1000,1000,0.0,1000,0.2543,0,4.92
1.1,0,0,nan,1000,1000,0.0,1000,0.254,0,4.82
1.0,0,0,nan,1000,1000,0.0,1000,0.3158,0,4.72
0.9,0,0,nan,1000,1000,0.0,1000,0.3372,0,4.62
0.8,0,0,nan,1000,1000,0.0,1000,0.3024,0,4.52
0.7,0,0,nan,1000,1000,0.0,1000,0.3189,0,4.42
0.6,0,0,nan,1000,999,0.1,999,0.2909,0,4.32
0.5,0,0,nan,1000,997,0.3,997,0.3165,0,4.22
0.4,0,0,nan,1000,995,0.5,995,0.3212,0,4.12
0.3,0,0,nan,1000,996,0.4,996,0.3038,0,4.02
0.2,0,0,nan,1000,898,10.2,898,0.3709,0,3.92
0.1,0,0,nan,1000,614,38.6,614,0.3606,0,3.82
0.0,0,0,nan,1000,513,48.7,513,0.331,0,3.72
