ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,500,495,1.0,500,495,1.0,990,0.6789,0,7.37
3.9,500,493,1.4,500,493,1.4,986,0.6692,0,7.28
3.8,500,493,1.4,500,493,1.4,986,0.666,0,7.18
3.7,500,490,2.0,500,490,2.0,980,0.6608,0,7.08
3.6,500,494,1.2,500,494,1.2,988,0.6663,0,6.98
3.5,500,496,0.8,500,496,0.8,992,0.6563,0,6.88
3.4,500,495,1.0,500,495,1.0,990,0.6592,0,6.78
3.3,500,497,0.6,500,497,0.6,994,0.6443,0,6.68
3.2,500,492,1.6,500,492,1.6,984,0.6648,0,6.58
3.1,500,489,2.2,500,489,2.2,978,0.6446,0,6.48
3.0,500,487,2.6,500,487,2.6,974,0.629,0,6.38
2.9,500,494,1.2,500,494,1.2,988,0.6371,0,6.28
2.8,500,494,1.2,500,494,1.2,988,0.6278,0,6.18
2.7,500,489,2.2,500,489,2.2,978,0.6329,0,6.08
2.6,500,496,0.8,500,496,0.8,992,0.6237,0,5.98
2.5,500,489,2.2,500,489,2.2,978,0.6264,0,5.88
2.4,500,489,2.2,500,489,2.2,978,0.6689,0,5.78
2.3,500,489,2.2,500,489,2.2,978,0.6078,0,5.68
2.2,500,486,2.8,500,486,2.8,972,0.6156,0,5.58
2.1,500,492,1.6,500,492,1.6,984,0.6144,0,5.48
2.0,500,496,0.8,500,496,0.8,992,0.6657,0,5.38
1.9,500,495,1.0,500,495,1.0,990,0.5946,0,5.28
1.8,500,495,1.0,500,495,1.0,990,0.6591,0,5.18
1.7,500,495,1.0,500,495,1.0,990,0.669,0,5.08
1.6,500,497,0.6,500,497,0.6,994,0.5856,0,4.98
1.5,500,494,1.2,500,494,1.2,988,0.6317,0,4.88
1.4,500,496,0.8,500,496,0.8,992,0.6434,0,4.78
1.3,500,494,1.2,500,494,1.2,988,0.5767,0,4.68
1.2,500,488,2.4,500,488,2.4,976,0.6427,0,4.58
1.1,500,461,7.8,500,461,7.8,922,0.6806,0,4.48
1.0,500,478,4.4,500,478,4.4,956,0.5879,0,4.38
0.9,500,354,29.2,500,354,29.2,708,0.6709,0,4.28
0.8,500,336,32.8,500,336,32.8,672,0.6659,0,4.18
0.7,500,313,37.4,500,313,37.4,626,0.6481,0,4.08
0.6,500,261,47.8,500,261,47.8,522,0.6712,0,3.98
0.5,500,250,50.0,500,250,50.0,500,0.6151,0,3.88
0.4,500,243,51.4,500,243,51.4,486,0.6864,0,3.78
0.3,500,210,58.0,500,210,58.0,420,0.6495,0,3.68
0.2,500,167,66.6,500,167,66.6,334,0.6861,0,3.58
0.1,500,166,66.8,500,166,66.8,332,0.6936,0,3.48
0.0,500,167,66.6,500,167,66.6,334,0.6663,0,3.38
