ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,1000,990,1.0,0,0,nan,990,0.9408,0,7.04
3.9,1000,990,1.0,0,0,nan,990,0.9489,0,6.94
3.8,1000,992,0.8,0,0,nan,992,0.9346,0,6.84
3.7,1000,987,1.3,0,0,nan,987,0.9143,0,6.74
3.6,1000,987,1.3,0,0,nan,987,0.9178,0,6.64
3.5,1000,987,1.3,0,0,nan,987,0.9531,0,6.54
3.4,1000,981,1.9,0,0,nan,981,0.917,0,6.44
3.3,1000,985,1.5,0,0,nan,985,0.9307,0,6.34
3.2,1000,982,1.8,0,0,nan,982,0.9138,0,6.24
3.1,1000,987,1.3,0,0,nan,987,0.93,0,6.14
3.0,1000,988,1.2,0,0,nan,988,0.9304,0,6.04
2.9,1000,994,0.6,0,0,nan,994,0.915,0,5.94
2.8,1000,983,1.7,0,0,nan,983,0.9021,0,5.84
2.7,1000,987,1.3,0,0,nan,987,0.9065,0,5.74
2.6,1000,987,1.3,0,0,nan,987,0.8979,0,5.64
2.5,1000,985,1.5,0,0,nan,985,0.9244,0,5.54
2.4,1000,983,1.7,0,0,nan,983,0.8069,0,5.44
2.3,1000,976,2.4,0,0,nan,976,0.7552,0,5.34
2.2,1000,989,1.1,0,0,nan,989,0.7631,0,5.24
2.1,1000,980,2.0,0,0,nan,980,0.7551,0,5.14
2.0,1000,986,1.4,0,0,nan,986,0.7742,0,5.04
1.9,1000,976,2.4,0,0,nan,976,0.769,0,4.94
1.8,1000,982,1.8,0,0,nan,982,0.7504,0,4.84
1.7,1000,975,2.5,0,0,nan,975,0.7364,0,4.74
1.6,1000,980,2.0,0,0,nan,980,0.7332,0,4.64
1.5,1000,984,1.6,0,0,nan,984,0.715,0,4.54
1.4,1000,976,2.4,0,0,nan,976,0.7365,0,4.44
1.3,1000,986,1.4,0,0,nan,986,0.7527,0,4.34
1.2,1000,979,2.1,0,0,nan,979,0.7209,0,4.24
1.1,1000,969,3.1,0,0,nan,969,0.7134,0,4.14
1.0,1000,949,5.1,0,0,nan,949,0.6903,0,4.04
0.9,1000,887,11.3,0,0,nan,887,0.704,0,3.94
0.8,1000,770,23.0,0,0,nan,770,0.6986,0,3.84
0.7,1000,747,25.3,0,0,nan,747,0.6772,0,3.74
0.6,1000,612,38.8,0,0,nan,612,0.7158,0,3.64
0.5,1000,505,49.5,0,0,nan,505,0.7356,0,3.54
0.4,1000,498,50.2,0,0,nan,498,0.6753,0,3.44
0.3,1000,493,50.7,0,0,nan,493,0.6743,0,3.34
0.2,1000,491,50.9,0,0,nan,491,0.6721,0,3.24
0.1,1000,488,51.2,0,0,nan,488,0.6582,0,3.14
0.0,1000,422,57.8,0,0,nan,422,0.6876,0,3.04
