ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,0,0,nan,1000,1000,0.0,1000,0.354,0,7.71
3.9,0,0,nan,1000,1000,0.0,1000,0.3592,0,7.61
3.8,0,0,nan,1000,1000,0.0,1000,0.363,0,7.51
3.7,0,0,nan,1000,1000,0.0,1000,0.367,0,7.42
3.6,0,0,nan,1000,1000,0.0,1000,0.3603,0,7.32
3.5,0,0,nan,1000,1000,0.0,1000,0.3813,0,7.22
3.4,0,0,nan,1000,1000,0.0,1000,0.3824,0,7.11
3.3,0,0,nan,1000,1000,0.0,1000,0.3751,0,7.01
3.2,0,0,nan,1000,1000,0.0,1000,0.3725,0,6.91
3.1,0,0,nan,1000,1000,0.0,1000,0.3531,0,6.81
3.0,0,0,nan,1000,1000,0.0,1000,0.3629,0,6.72
2.9,0,0,nan,1000,1000,0.0,1000,0.3601,0,6.62
2.8,0,0,nan,1000,1000,0.0,1000,0.3509,0,6.52
2.7,0,0,nan,1000,1000,0.0,1000,0.3591,0,6.42
2.6,0,0,nan,1000,1000,0.0,1000,0.3442,0,6.31
2.5,0,0,nan,1000,1000,0.0,1000,0.3634,0,6.21
2.4,0,0,nan,1000,999,0.1,999,0.3491,0,6.12
2.3,0,0,nan,1000,1000,0.0,1000,0.3387,0,6.02
2.2,0,0,nan,1000,1000,0.0,1000,0.3446,0,5.92
2.1,0,0,nan,1000,1000,0.0,1000,0.333,0,5.82
2.0,0,0,nan,1000,999,0.1,999,0.4142,0,5.72
1.9,0,0,nan,1000,1000,0.0,1000,0.3691,0,5.62
1.8,0,0,nan,1000,1000,0.0,1000,0.342,0,5.52
1.7,0,0,nan,1000,999,0.1,999,0.3659,0,5.42
1.6,0,0,nan,1000,1000,0.0,1000,0.4029,0,5.32
1.5,0,0,nan,1000,1000,0.0,1000,0.4103,0,5.22
1.4,0,0,nan,1000,1000,0.0,1000,0.3598,0,5.12
1.3,0,0,nan,1000,1000,0.0,1000,0.3265,0,5.02
1.2,0,0,nan,1000,999,0.1,999,0.3701,0,4.92
1.1,0,0,nan,1000,1000,0.0,1000,0.3973,0,4.82
1.0,0,0,nan,1000,998,0.2,998,0.3841,0,4.72
0.9,0,0,nan,1000,999,0.1,999,0.3299,0,4.62
0.8,0,0,nan,1000,1000,0.0,1000,0.3573,0,4.52
0.7,0,0,nan,1000,996,0.4,996,0.3988,0,4.42
0.6,0,0,nan,1000,999,0.1,999,0.3796,0,4.32
0.5,0,0,nan,1000,999,0.1,999,0.3034,0,4.22
0.4,0,0,nan,1000,993,0.7,993,0.378,0,4.12
0.3,0,0,nan,1000,973,2.7,973,0.402,0,4.02
0.2,0,0,nan,1000,929,7.1,929,0.3338,0,3.92
0.1,0,0,nan,1000,682,31.8,682,0.3367,0,3.82
0.0,0,0,nan,1000,500,50.0,500,0.4062,0,3.72
