first,second,ifs_ms,ifs_after_second_ms,ifs_true_ms,ifs_true_after_first_ms,ifs_true_after_second_ms,sent_h,rx_h,sent_z,rx_z,per_h,per_z,per,impossible,swaps,swap_median_ms,swap_to_first_median_ms,swap_to_second_median_ms,swap_max_ms,retune_median_ms,duplicates,lost_late,lost_listening,queued_median,queued_max,posted_by,source_dropped,link_dropped
wlan_simple.toml,wlan_simple.toml,6,6,6.0000,6.0000,6.0000,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1481,0.1484,0.1475,0.2890,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.99,5.99,5.9900,5.9900,5.9900,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1500,0.1509,0.1496,0.3698,0.0014,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.98,5.98,5.9800,5.9800,5.9800,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1494,0.1499,0.1491,0.2264,0.0014,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.97,5.97,5.9700,5.9700,5.9700,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1459,0.1467,0.1453,0.3848,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.96,5.96,5.9600,5.9600,5.9600,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1456,0.1453,0.1458,0.3596,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.95,5.95,5.9500,5.9500,5.9500,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1444,0.1448,0.1442,0.1879,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.94,5.94,5.9400,5.9400,5.9400,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1517,0.1517,0.1517,0.5749,0.0015,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.93,5.93,5.9300,5.9300,5.9300,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1479,0.1482,0.1475,0.2113,0.0014,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.92,5.92,5.9200,5.9200,5.9200,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1514,0.1511,0.1519,0.2068,0.0014,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.91,5.91,5.9100,5.9100,5.9100,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1449,0.1445,0.1452,0.5673,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.9,5.9,5.9000,5.9000,5.9000,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1446,0.1449,0.1443,0.3614,0.0012,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.89,5.89,5.8900,5.8900,5.8900,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1468,0.1474,0.1467,0.3548,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.88,5.88,5.8800,5.8800,5.8800,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1455,0.1458,0.1450,0.5598,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.87,5.87,5.8700,5.8700,5.8700,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1559,0.1559,0.1564,0.3849,0.0016,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.86,5.86,5.8600,5.8600,5.8600,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1464,0.1467,0.1462,0.5634,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.85,5.85,5.8500,5.8500,5.8500,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1510,0.1502,0.1516,0.5811,0.0015,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.84,5.84,5.8400,5.8400,5.8400,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1475,0.1475,0.1475,0.2011,0.0014,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.83,5.83,5.8300,5.8300,5.8300,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1544,0.1547,0.1540,0.2972,0.0015,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.82,5.82,5.8200,5.8200,5.8200,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1458,0.1450,0.1467,0.3725,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.81,5.81,5.8100,5.8100,5.8100,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1467,0.1466,0.1469,0.3514,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.8,5.8,5.8000,5.8000,5.8000,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1456,0.1456,0.1456,0.5602,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.79,5.79,5.7900,5.7900,5.7900,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1470,0.1476,0.1460,0.1967,0.0013,0,0,0,0,0,halow:400,0,0
wlan_simple.toml,wlan_simple.toml,5.78,5.78,5.7800,5.7800,5.7800,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1491,0.1486,0.1494,0.2119,0.0014,0,0,0,0,0,halow:400,0,0
