first,second,ifs_ms,ifs_after_second_ms,ifs_true_ms,ifs_true_after_first_ms,ifs_true_after_second_ms,sent_h,rx_h,sent_z,rx_z,per_h,per_z,per,impossible,swaps,swap_median_ms,swap_to_first_median_ms,swap_to_second_median_ms,swap_max_ms,retune_median_ms,duplicates,lost_late,lost_listening,queued_median,queued_max,posted_by,source_dropped,link_dropped
wlan_simple.toml,zigbee.toml,6,6,6.0000,6.0000,6.0000,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1447,0.1562,0.0405,0.2197,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.99,5.99,5.9900,5.9900,5.9900,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1453,0.1582,0.0424,0.1908,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.98,5.98,5.9800,5.9800,5.9800,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1439,0.1586,0.0420,0.1925,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.97,5.97,5.9700,5.9700,5.9700,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1458,0.1578,0.0421,0.2100,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.96,5.96,5.9600,5.9600,5.9600,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1447,0.1557,0.0414,0.1830,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.95,5.95,5.9500,5.9500,5.9500,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1452,0.1571,0.0426,0.1920,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.94,5.94,5.9400,5.9400,5.9400,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1442,0.1581,0.0417,0.3741,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.93,5.93,5.9300,5.9300,5.9300,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1435,0.1563,0.0403,0.5727,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.92,5.92,5.9200,5.9200,5.9200,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1418,0.1547,0.0398,0.1929,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.91,5.91,5.9100,5.9100,5.9100,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1416,0.1567,0.0409,0.1857,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.9,5.9,5.9000,5.9000,5.9000,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1436,0.1552,0.0404,0.2596,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.89,5.89,5.8900,5.8900,5.8900,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1443,0.1570,0.0412,0.2042,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.88,5.88,5.8800,5.8800,5.8800,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1452,0.1569,0.0404,0.2064,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.87,5.87,5.8700,5.8700,5.8700,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1420,0.1555,0.0406,0.1979,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.86,5.86,5.8600,5.8600,5.8600,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1451,0.1568,0.0401,0.3814,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.85,5.85,5.8500,5.8500,5.8500,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1418,0.1557,0.0400,0.2040,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.84,5.84,5.8400,5.8400,5.8400,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1452,0.1573,0.0411,0.1936,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.83,5.83,5.8300,5.8300,5.8300,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1439,0.1554,0.0409,0.1888,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.82,5.82,5.8200,5.8200,5.8200,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1453,0.1559,0.0410,0.1858,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.81,5.81,5.8100,5.8100,5.8100,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1432,0.1566,0.0403,0.1931,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.8,5.8,5.8000,5.8000,5.8000,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1424,0.1560,0.0404,0.1847,0.0014,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.79,5.79,5.7900,5.7900,5.7900,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1449,0.1580,0.0408,0.1922,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.78,5.78,5.7800,5.7800,5.7800,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1408,0.1575,0.0414,0.1956,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
wlan_simple.toml,zigbee.toml,5.77,5.77,5.7700,5.7700,5.7700,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1455,0.1571,0.0408,0.3667,0.0015,0,0,0,0,0,halow:200 zigbee:200,0,0
