first,second,ifs_ms,ifs_after_second_ms,ifs_true_ms,ifs_true_after_first_ms,ifs_true_after_second_ms,sent_h,rx_h,sent_z,rx_z,per_h,per_z,per,impossible,swaps,swap_median_ms,swap_to_first_median_ms,swap_to_second_median_ms,swap_max_ms,retune_median_ms,duplicates,lost_late,lost_listening,queued_median,queued_max,posted_by,source_dropped,link_dropped
zigbee.toml,zigbee.toml,6,6,6.0000,6.0000,6.0000,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0435,0.0440,0.0434,0.2069,0.0018,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.99,5.99,5.9900,5.9900,5.9900,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0426,0.0426,0.0426,0.0762,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.98,5.98,5.9800,5.9800,5.9800,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0399,0.0401,0.0395,0.0694,0.0015,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.97,5.97,5.9700,5.9700,5.9700,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0422,0.0420,0.0423,0.0997,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.96,5.96,5.9600,5.9600,5.9600,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0413,0.0410,0.0415,0.1272,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.95,5.95,5.9500,5.9500,5.9500,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0419,0.0424,0.0416,0.0868,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.94,5.94,5.9400,5.9400,5.9400,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0446,0.0443,0.0446,0.2424,0.0019,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.93,5.93,5.9300,5.9300,5.9300,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0451,0.0442,0.0457,0.0879,0.0019,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.92,5.92,5.9200,5.9200,5.9200,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0422,0.0421,0.0426,0.0883,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.91,5.91,5.9100,5.9100,5.9100,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0427,0.0418,0.0432,0.1144,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.9,5.9,5.9000,5.9000,5.9000,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0413,0.0410,0.0415,0.0899,0.0016,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.89,5.89,5.8900,5.8900,5.8900,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0421,0.0427,0.0416,0.0842,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.88,5.88,5.8800,5.8800,5.8800,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0511,0.0504,0.0520,0.1122,0.0024,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.87,5.87,5.8700,5.8700,5.8700,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0500,0.0501,0.0499,0.1128,0.0023,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.86,5.86,5.8600,5.8600,5.8600,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0475,0.0468,0.0494,0.1349,0.0021,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.85,5.85,5.8500,5.8500,5.8500,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0486,0.0486,0.0485,0.1078,0.0021,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.84,5.84,5.8400,5.8400,5.8400,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0431,0.0432,0.0426,0.2540,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.83,5.83,5.8300,5.8300,5.8300,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0414,0.0416,0.0412,0.0847,0.0016,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.82,5.82,5.8200,5.8200,5.8200,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0425,0.0424,0.0426,0.1191,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.81,5.81,5.8100,5.8100,5.8100,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0421,0.0426,0.0419,0.0837,0.0016,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.8,5.8,5.8000,5.8000,5.8000,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0418,0.0420,0.0417,0.0812,0.0016,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.79,5.79,5.7900,5.7900,5.7900,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0431,0.0431,0.0435,0.1181,0.0018,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.78,5.78,5.7800,5.7800,5.7800,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0434,0.0445,0.0425,0.1067,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.77,5.77,5.7700,5.7700,5.7700,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0436,0.0432,0.0438,0.1281,0.0017,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.76,5.76,5.7600,5.7600,5.7600,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0456,0.0463,0.0454,0.1138,0.0019,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.75,5.75,5.7500,5.7500,5.7500,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0455,0.0445,0.0460,0.1166,0.0019,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.74,5.74,5.7400,5.7400,5.7400,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0454,0.0453,0.0454,0.2902,0.0018,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.73,5.73,5.7300,5.7300,5.7300,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0459,0.0456,0.0469,0.0978,0.0019,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.72,5.72,5.7200,5.7200,5.7200,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0545,0.0541,0.0548,0.1159,0.0025,0,0,0,0,0,zigbee:400,0,0
zigbee.toml,zigbee.toml,5.71,5.71,5.7100,5.7100,5.7100,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0455,0.0459,0.0450,0.1500,0.0019,0,0,0,0,0,zigbee:400,0,0
