swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.0760,0.0014,0.0003,0.0001,0.0012,0.0481,0.1163,0.0279,0.0185,0.0338,0.0026,0.0265,0.0001,0.2466,0.3556,207.663
1,H,Z,0.0874,0.0015,0.0004,0.0002,0.0012,0.0595,0.0181,0.0521,0.0235,0.0225,0.0004,0.0178,0.0001,0.1777,0.2873,247.961
2,Z,H,0.0904,0.0019,0.0006,0.0001,0.0016,0.0693,0.1719,0.0392,0.0314,0.0439,0.0004,0.0218,0.0001,0.3586,0.4762,288.450
3,H,Z,0.0848,0.0026,0.0006,0.0002,0.0013,0.0600,0.0253,0.0721,0.0510,0.0230,0.0034,0.0212,0.0001,0.2342,0.3497,328.815
4,Z,H,0.0678,0.0014,0.0004,0.0002,0.0011,0.0476,0.0667,0.0356,0.0199,0.0413,0.0023,0.0192,0.0001,0.2135,0.3066,369.138
5,H,Z,0.0691,0.0014,0.0004,0.0001,0.0008,0.0430,0.0213,0.0454,0.0290,0.0232,0.0036,0.0211,0.0000,0.1640,0.2612,409.411
6,Z,H,0.0701,0.0014,0.0004,0.0002,0.0010,0.0474,0.0670,0.0323,0.0201,0.0443,0.0006,0.0306,0.0000,0.2139,0.3189,449.747
7,H,Z,0.0933,0.0024,0.0007,0.0001,0.0012,0.0635,0.0245,0.0728,0.0421,0.0213,0.0042,0.0266,0.0001,0.2268,0.3565,490.128
8,Z,H,0.0630,0.0010,0.0005,0.0001,0.0010,0.0440,0.0797,0.0276,0.0203,0.0407,0.0005,0.0274,0.0001,0.2146,0.3088,530.459
9,H,Z,0.0692,0.0013,0.0005,0.0001,0.0007,0.0413,0.0232,0.0453,0.0207,0.0224,0.0004,0.0228,0.0001,0.1550,0.2511,570.722
10,Z,H,0.0829,0.0012,0.0004,0.0001,0.0011,0.0505,0.1235,0.0304,0.0210,0.0347,0.0003,0.0175,0.0001,0.2624,0.3670,611.103
11,H,Z,0.0737,0.0009,0.0003,0.0001,0.0006,0.0406,0.0153,0.0420,0.0212,0.0151,0.0030,0.0265,0.0000,0.1359,0.2416,651.355
12,Z,H,0.0679,0.0013,0.0005,0.0001,0.0011,0.0461,0.0645,0.0276,0.0185,0.0342,0.0004,0.0207,0.0001,0.1932,0.2859,691.655
13,H,Z,0.1174,0.0025,0.0008,0.0002,0.0012,0.0623,0.0298,0.0823,0.0397,0.0245,0.0044,0.0498,0.0002,0.2423,0.4202,732.089
14,Z,H,0.0867,0.0017,0.0007,0.0003,0.0018,0.0530,0.1542,0.0370,0.0221,0.0426,0.0042,0.0309,0.0001,0.3167,0.4441,772.549
15,H,Z,0.0748,0.0008,0.0003,0.0001,0.0010,0.0449,0.0184,0.0440,0.0266,0.0191,0.0003,0.0379,0.0001,0.1554,0.2711,812.832
16,Z,H,0.0715,0.0015,0.0005,0.0002,0.0015,0.0475,0.0592,0.0415,0.0229,0.0401,0.0004,0.0194,0.0000,0.2133,0.3089,853.154
17,H,Z,0.0761,0.0016,0.0004,0.0003,0.0011,0.0447,0.0211,0.0536,0.0266,0.0230,0.0010,0.0358,0.0000,0.1717,0.2892,893.458
18,Z,H,0.1052,0.0027,0.0005,0.0003,0.0019,0.0720,0.1059,0.0630,0.0442,0.0772,0.0009,0.0420,0.0002,0.3655,0.5202,934.001
19,H,Z,0.0698,0.0014,0.0006,0.0001,0.0008,0.0444,0.0212,0.0438,0.0229,0.0203,0.0046,0.0217,0.0001,0.1552,0.2553,974.270
20,Z,H,0.0670,0.0016,0.0004,0.0002,0.0009,0.0471,0.0454,0.0284,0.0198,0.0363,0.0003,0.0187,0.0002,0.1796,0.2696,1014.552
21,H,Z,0.0814,0.0018,0.0005,0.0002,0.0012,0.0541,0.0246,0.0541,0.0268,0.0223,0.0023,0.0351,0.0002,0.1846,0.3083,1054.878
22,Z,H,0.0729,0.0011,0.0004,0.0001,0.0010,0.0470,0.0731,0.0320,0.0211,0.0353,0.0003,0.0281,0.0001,0.2108,0.3154,1095.208
23,H,Z,0.0833,0.0022,0.0004,0.0001,0.0012,0.0639,0.0239,0.0723,0.0421,0.0236,0.0004,0.0258,0.0002,0.2279,0.3424,1135.563
24,Z,H,0.0700,0.0017,0.0006,0.0001,0.0009,0.0544,0.0494,0.0330,0.0235,0.0350,0.0016,0.0268,0.0001,0.1982,0.3008,1175.878
25,H,Z,0.0889,0.0025,0.0005,0.0002,0.0016,0.0612,0.0262,0.0867,0.0474,0.0266,0.0030,0.0281,0.0002,0.2512,0.3771,1216.272
26,Z,H,0.0862,0.0019,0.0005,0.0001,0.0013,0.0524,0.0798,0.0351,0.0195,0.0377,0.0020,0.0279,0.0001,0.2270,0.3478,1256.633
27,H,Z,0.0868,0.0013,0.0005,0.0001,0.0010,0.0444,0.0207,0.0490,0.0203,0.0259,0.0006,0.0318,0.0001,0.1626,0.2858,1296.935
28,Z,H,0.0850,0.0016,0.0004,0.0002,0.0010,0.0593,0.0533,0.0484,0.0294,0.0373,0.0066,0.0210,0.0001,0.2304,0.3472,1337.297
