rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,Z,zigbee_frames,rx,46,441,1,90,9900,33133643,-1,0.099,1.886
1,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,10.517,0.463
2,Z,zigbee_frames,rx,46,451,1,90,9900,33352680,-1,21.680,0.741
3,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,32.504,0.390
4,Z,zigbee_frames,rx,46,452,1,90,9900,33374585,-1,43.570,1.015
5,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,54.295,0.408
6,Z,zigbee_frames,rx,46,453,1,90,9900,33396488,-1,65.492,0.658
7,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,76.157,0.422
8,Z,zigbee_frames,rx,46,454,1,90,9900,33418391,-1,87.409,1.078
9,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,98.139,0.339
10,Z,zigbee_frames,rx,46,455,1,90,9900,33440295,-1,109.358,1.047
11,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,120.021,0.398
12,Z,zigbee_frames,rx,46,456,1,90,9900,33462199,-1,131.208,0.938
13,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,141.888,0.295
14,Z,zigbee_frames,rx,46,457,1,90,9900,33484102,-1,153.186,0.957
15,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,163.825,0.303
16,Z,zigbee_frames,rx,46,458,1,90,9900,33506006,-1,175.048,0.934
17,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,185.716,0.292
18,Z,zigbee_frames,rx,46,459,1,90,9900,33527910,-1,196.944,0.975
19,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,207.686,0.309
20,Z,zigbee_frames,rx,46,460,1,90,9900,33549814,-1,218.871,0.740
21,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,229.552,0.410
22,Z,zigbee_frames,rx,46,461,1,90,9900,33571717,-1,240.600,0.628
23,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,251.465,0.321
24,Z,zigbee_frames,rx,46,462,1,90,9900,33593622,-1,262.510,0.558
25,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,273.381,0.291
26,Z,zigbee_frames,rx,46,463,1,90,9900,33615525,-1,284.385,0.651
27,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,295.106,0.435
28,Z,zigbee_frames,rx,46,464,1,90,9900,33637428,-1,306.308,0.655
29,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,317.053,0.315
30,Z,zigbee_frames,rx,46,465,1,90,9900,33659332,-1,328.264,0.999
31,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,338.887,0.314
32,Z,zigbee_frames,rx,46,466,1,90,9900,33681236,-1,350.117,0.662
33,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,360.822,0.257
