rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,Z,zigbee_frames,rx,46,0,0,90,10000,1091557,-1,12054.500,1.641
1,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,1,12070.526,0.569
2,Z,zigbee_frames,rx,46,2,0,90,10000,1114553,-1,12077.478,1.272
3,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,2,12081.177,0.378
4,Z,zigbee_frames,rx,46,3,0,90,10000,1126003,-1,12088.974,1.006
5,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,3,12092.004,0.261
6,Z,zigbee_frames,rx,46,4,0,90,10000,1137451,-1,12100.365,1.287
7,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,5,12113.521,0.523
8,Z,zigbee_frames,rx,46,6,0,90,10000,1160348,-1,12123.313,0.789
9,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,7,12135.035,0.445
10,Z,zigbee_frames,rx,46,8,0,90,10000,1183244,-1,12146.264,0.799
11,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,9,12156.551,0.287
12,Z,zigbee_frames,rx,46,10,0,90,10000,1206141,-1,12168.987,0.608
13,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,11,12178.052,0.282
14,Z,zigbee_frames,rx,46,11,0,90,10000,1217590,-1,12180.472,0.590
15,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,12,12188.883,0.443
16,Z,zigbee_frames,rx,46,12,0,90,10000,1229038,-1,12191.915,1.033
17,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,13,12199.754,0.418
18,Z,zigbee_frames,rx,46,13,0,90,10000,1240487,-1,12203.392,0.964
19,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,14,12210.376,0.258
20,Z,zigbee_frames,rx,46,14,0,90,10000,1251935,-1,12214.824,0.667
21,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,15,12221.249,0.272
22,Z,zigbee_frames,rx,46,15,0,90,10000,1263383,-1,12226.338,0.720
23,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,16,12231.886,0.304
24,Z,zigbee_frames,rx,46,16,0,90,10000,1274832,-1,12237.794,0.941
25,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,18,12253.418,0.355
26,Z,zigbee_frames,rx,46,18,0,90,10000,1297736,-1,12260.744,0.649
27,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,20,12274.890,0.330
28,Z,zigbee_frames,rx,46,20,0,90,10000,1320633,-1,12283.669,0.661
29,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,22,12296.366,0.397
30,Z,zigbee_frames,rx,46,22,0,90,10000,1343530,-1,12306.399,0.617
31,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,24,12317.881,0.437
32,Z,zigbee_frames,rx,46,24,0,90,10000,1366426,-1,12329.338,0.614
33,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,26,12339.409,0.299
34,Z,zigbee_frames,rx,46,26,0,90,10000,1389323,-1,12352.273,0.668
35,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,28,12360.904,0.325
36,Z,zigbee_frames,rx,46,27,0,90,10000,1400771,-1,12363.755,0.709
