rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,Z,zigbee_frames,rx,46,0,0,Z,200000,1111189,-1,4538.498,1.090
1,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,0,4750.136,0.359
2,Z,zigbee_frames,rx,46,1,0,Z,200000,1519323,-1,4946.625,0.465
3,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,1,5154.543,0.337
4,Z,zigbee_frames,rx,46,2,0,Z,200000,1926469,-1,5353.588,0.426
5,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,2,5561.724,0.339
6,Z,zigbee_frames,rx,46,3,0,Z,200000,2333763,-1,5761.012,0.411
7,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,3,5969.088,0.490
8,Z,zigbee_frames,rx,46,4,0,Z,200000,2740941,-1,6168.236,0.458
9,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,4,6375.813,0.470
10,Z,zigbee_frames,rx,46,5,0,Z,200000,3148080,-1,6575.465,0.486
11,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,5,6782.783,0.324
12,Z,zigbee_frames,rx,46,6,0,Z,200000,3555375,-1,6982.683,0.492
13,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,6,7190.297,0.329
14,Z,zigbee_frames,rx,46,7,0,Z,200000,3962524,-1,7389.669,0.393
15,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,7,7597.590,0.477
16,Z,zigbee_frames,rx,46,8,0,Z,200000,4369789,-1,7797.128,0.567
17,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,8,8004.580,0.349
18,Z,zigbee_frames,rx,46,9,0,Z,200000,4776963,-1,8204.127,0.544
19,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,9,8412.497,0.448
20,Z,zigbee_frames,rx,46,10,0,Z,200000,5184105,-1,8611.397,0.385
21,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,10,8822.876,0.338
22,Z,zigbee_frames,rx,46,11,0,Z,200000,5591454,-1,9018.697,0.478
23,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,11,9226.178,0.492
24,Z,zigbee_frames,rx,46,12,0,Z,200000,5998498,-1,9425.745,0.441
25,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,12,9633.304,0.391
26,Z,zigbee_frames,rx,46,13,0,Z,200000,6405769,-1,9833.151,0.392
27,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,13,10040.636,0.467
28,Z,zigbee_frames,rx,46,14,0,Z,200000,6812949,-1,10240.133,0.347
29,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,14,10449.029,0.595
30,Z,zigbee_frames,rx,46,15,0,Z,200000,7220097,-1,10647.350,0.423
31,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,15,10855.803,0.496
32,Z,zigbee_frames,rx,46,16,0,Z,200000,7627390,-1,11054.685,0.540
33,H,halow_frames_a,rx,99,-1,-1,?,-1,-1,1317,11126.006,0.348
34,Z,zigbee_frames,rx,46,17,0,Z,200000,8034581,-1,11461.823,0.536
35,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,17,11672.624,0.421
36,Z,zigbee_frames,rx,46,18,0,Z,200000,8441914,-1,11869.289,0.543
37,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,18,12076.891,0.321
38,Z,zigbee_frames,rx,46,19,0,Z,200000,8849061,-1,12276.626,0.637
39,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,19,12484.070,0.496
40,Z,zigbee_frames,rx,46,20,0,Z,200000,9256204,-1,12683.471,0.371
41,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,20,12891.115,0.365
42,Z,zigbee_frames,rx,46,21,0,Z,200000,9663452,-1,13090.692,0.515
43,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,21,13298.785,0.343
44,Z,zigbee_frames,rx,46,22,0,Z,200000,10070478,-1,13497.674,0.438
45,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,22,13706.448,0.350
