iteration,swap,target,time_ms
0,0,wlan_rx.toml,11.0042
0,1,zigbee_rx.toml,11.0601
1,0,wlan_rx.toml,11.6685
1,1,zigbee_rx.toml,11.2299
2,0,wlan_rx.toml,11.7588
2,1,zigbee_rx.toml,11.0272
3,0,wlan_rx.toml,12.3102
3,1,zigbee_rx.toml,11.4044
4,0,wlan_rx.toml,11.5413
4,1,zigbee_rx.toml,11.6697
5,0,wlan_rx.toml,11.2603
5,1,zigbee_rx.toml,11.1948
6,0,wlan_rx.toml,11.7264
6,1,zigbee_rx.toml,11.8821
7,0,wlan_rx.toml,11.2754
7,1,zigbee_rx.toml,11.0516
8,0,wlan_rx.toml,11.6176
8,1,zigbee_rx.toml,11.3995
9,0,wlan_rx.toml,11.5745
9,1,zigbee_rx.toml,11.3713
