test,iteration,time_ms
tx_native_freq,0,9.9953
tx_native_freq,1,9.8748
tx_native_freq,2,10.3702
tx_native_freq,3,9.3525
tx_native_freq,4,9.3450
tx_native_freq,5,10.6485
tx_native_freq,6,9.8049
tx_native_freq,7,9.3271
tx_native_freq,8,9.3023
tx_native_freq,9,9.3321
tx_native_freq,10,9.3577
tx_native_freq,11,9.3001
tx_native_freq,12,9.3241
tx_native_freq,13,9.4021
tx_native_freq,14,9.6618
tx_native_freq,15,9.3975
tx_native_freq,16,9.3028
tx_native_freq,17,9.3345
tx_native_freq,18,9.3263
tx_native_freq,19,9.3219
tx_native_sample_rate,0,477.1920
tx_native_sample_rate,1,941.4085
tx_native_sample_rate,2,477.7958
tx_native_sample_rate,3,948.9850
tx_native_sample_rate,4,475.1689
tx_native_sample_rate,5,953.3689
tx_native_sample_rate,6,541.2091
tx_native_sample_rate,7,973.7492
tx_native_sample_rate,8,472.9659
tx_native_sample_rate,9,74.4614
tx_native_sample_rate,10,475.3643
tx_native_sample_rate,11,72.3629
tx_native_sample_rate,12,478.9560
tx_native_sample_rate,13,72.0747
tx_native_sample_rate,14,480.8408
tx_native_sample_rate,15,73.7618
tx_native_sample_rate,16,474.4301
tx_native_sample_rate,17,71.5206
tx_native_sample_rate,18,477.0868
tx_native_sample_rate,19,72.4612
tx_native_gain,0,1.6661
tx_native_gain,1,1.4404
tx_native_gain,2,1.2463
tx_native_gain,3,1.2484
tx_native_gain,4,1.2450
tx_native_gain,5,1.2375
tx_native_gain,6,1.2467
tx_native_gain,7,1.2576
tx_native_gain,8,1.2483
tx_native_gain,9,1.2460
tx_native_gain,10,1.2469
tx_native_gain,11,1.2585
tx_native_gain,12,1.2450
tx_native_gain,13,1.2377
tx_native_gain,14,1.2467
tx_native_gain,15,1.2406
tx_native_gain,16,1.2644
tx_native_gain,17,1.2479
tx_native_gain,18,1.2452
tx_native_gain,19,1.2481
tx_native_freq+rate,0,478.9265
tx_native_freq+rate,1,83.6030
tx_native_freq+rate,2,481.0143
tx_native_freq+rate,3,80.1884
tx_native_freq+rate,4,485.0801
tx_native_freq+rate,5,82.6884
tx_native_freq+rate,6,484.4158
tx_native_freq+rate,7,82.8200
tx_native_freq+rate,8,490.6317
tx_native_freq+rate,9,83.6228
tx_native_freq+rate,10,486.1001
tx_native_freq+rate,11,81.1916
tx_native_freq+rate,12,522.7041
tx_native_freq+rate,13,991.9882
tx_native_freq+rate,14,537.7638
tx_native_freq+rate,15,98.8017
tx_native_freq+rate,16,539.4104
tx_native_freq+rate,17,104.3318
tx_native_freq+rate,18,535.3839
tx_native_freq+rate,19,110.4183
tx_native_freq+rate+gain,0,536.5635
tx_native_freq+rate+gain,1,102.2493
tx_native_freq+rate+gain,2,555.7898
tx_native_freq+rate+gain,3,104.7679
tx_native_freq+rate+gain,4,558.2501
tx_native_freq+rate+gain,5,104.3649
tx_native_freq+rate+gain,6,548.8543
tx_native_freq+rate+gain,7,107.6200
tx_native_freq+rate+gain,8,555.0432
tx_native_freq+rate+gain,9,111.0552
tx_native_freq+rate+gain,10,510.5287
tx_native_freq+rate+gain,11,86.2452
tx_native_freq+rate+gain,12,493.0768
tx_native_freq+rate+gain,13,88.5002
tx_native_freq+rate+gain,14,493.4402
tx_native_freq+rate+gain,15,83.6081
tx_native_freq+rate+gain,16,493.8337
tx_native_freq+rate+gain,17,83.6612
tx_native_freq+rate+gain,18,518.2713
tx_native_freq+rate+gain,19,104.3484
tx_native_freq_noop,0,0.5409
tx_native_freq_noop,1,0.5361
tx_native_freq_noop,2,0.5355
tx_native_freq_noop,3,0.5547
tx_native_freq_noop,4,0.5341
tx_native_freq_noop,5,0.5359
