param,from,to,run,time_ms
rate,1,1,0,971.4738
rate,1,1,1,66.4904
rate,1,1,2,98.9827
rate,1,1,3,68.1042
rate,1,1,4,62.1323
rate,1,2,0,963.3323
rate,1,2,1,109.8449
rate,1,2,2,107.1002
rate,1,2,3,966.5127
rate,1,2,4,979.7800
rate,1,3,0,1092.4327
rate,1,3,1,1101.6154
rate,1,3,2,483.6761
rate,1,3,3,490.7962
rate,1,3,4,1088.6641
rate,1,4,0,1776.1219
rate,1,4,1,878.0160
rate,1,4,2,850.8813
rate,1,4,3,864.2850
rate,1,4,4,885.9631
rate,1,5,0,2236.4264
rate,1,5,1,2239.8053
rate,1,5,2,839.8812
rate,1,5,3,2254.7393
rate,1,5,4,2235.5720
rate,1,6,0,1916.5014
rate,1,6,1,1917.0680
rate,1,6,2,1921.3129
rate,1,6,3,1917.7230
rate,1,6,4,1926.0225
rate,1,7,0,1745.5293
rate,1,7,1,1721.7266
rate,1,7,2,1765.5463
rate,1,7,3,1738.5126
rate,1,7,4,1763.2641
rate,1,8,0,1277.3739
rate,1,8,1,1272.6340
rate,1,8,2,1285.7026
rate,1,8,3,1258.5764
rate,1,8,4,1245.4431
rate,1,9,0,1195.9914
rate,1,9,1,1203.6488
rate,1,9,2,1203.6217
rate,1,9,3,1229.2556
rate,1,9,4,1191.1227
rate,1,10,0,1198.3984
rate,1,10,1,1174.1772
rate,1,10,2,1167.0869
rate,1,10,3,1150.2475
rate,1,10,4,1153.3779
rate,2,1,0,104.8179
rate,2,1,1,82.8717
rate,2,1,2,75.2595
rate,2,1,3,80.9116
rate,2,1,4,100.5418
rate,2,2,0,97.4411
rate,2,2,1,93.5122
rate,2,2,2,100.8468
rate,2,2,3,103.6600
rate,2,2,4,964.5173
rate,2,3,0,476.7118
rate,2,3,1,457.7034
rate,2,3,2,482.0987
rate,2,3,3,512.5899
rate,2,3,4,486.2695
rate,2,4,0,400.3124
rate,2,4,1,874.6321
rate,2,4,2,835.9847
rate,2,4,3,385.3125
rate,2,4,4,409.1663
rate,2,5,0,1835.8246
rate,2,5,1,875.3203
rate,2,5,2,1857.5885
rate,2,5,3,2111.5752
rate,2,5,4,519.7894
rate,2,6,0,1903.2261
rate,2,6,1,1897.8079
rate,2,6,2,1921.9686
rate,2,6,3,1939.3072
rate,2,6,4,1888.5094
rate,2,7,0,1752.5941
rate,2,7,1,1769.3562
rate,2,7,2,1771.7322
rate,2,7,3,1770.5148
rate,2,7,4,1773.8497
rate,2,8,0,1213.4142
rate,2,8,1,1287.2127
rate,2,8,2,1284.4033
rate,2,8,3,1244.3169
rate,2,8,4,1296.5534
rate,2,9,0,1206.6582
rate,2,9,1,1202.7573
rate,2,9,2,1186.4272
rate,2,9,3,1196.0038
rate,2,9,4,1193.6007
rate,2,10,0,1153.3872
rate,2,10,1,1134.8281
rate,2,10,2,1142.9766
rate,2,10,3,1163.7695
rate,2,10,4,1141.5777
rate,3,1,0,1564.6058
rate,3,1,1,640.6969
rate,3,1,2,689.0303
rate,3,1,3,703.2687
rate,3,1,4,669.4811
rate,3,2,0,684.0229
rate,3,2,1,695.7289
rate,3,2,2,632.7811
rate,3,2,3,673.5112
rate,3,2,4,1307.7726
rate,3,3,0,112.3628
rate,3,3,1,1232.8506
rate,3,3,2,115.7116
rate,3,3,3,111.5889
rate,3,3,4,114.9223
rate,3,4,0,90.9979
rate,3,4,1,100.1458
rate,3,4,2,122.6661
rate,3,4,3,110.1847
rate,3,4,4,100.6911
rate,3,5,0,114.0443
rate,3,5,1,113.2785
rate,3,5,2,108.4388
rate,3,5,3,150.6961
rate,3,5,4,113.7106
rate,3,6,0,148.8400
rate,3,6,1,152.8996
rate,3,6,2,150.3687
rate,3,6,3,152.9316
rate,3,6,4,159.7364
rate,3,7,0,137.5995
rate,3,7,1,143.8346
rate,3,7,2,139.7554
rate,3,7,3,125.2528
rate,3,7,4,139.0152
rate,3,8,0,124.3536
rate,3,8,1,124.2852
rate,3,8,2,129.6521
rate,3,8,3,136.8538
rate,3,8,4,128.4359
rate,3,9,0,117.5409
rate,3,9,1,108.8692
rate,3,9,2,121.4705
rate,3,9,3,107.8087
rate,3,9,4,114.5915
rate,3,10,0,124.8356
rate,3,10,1,125.0479
rate,3,10,2,124.1160
rate,3,10,3,125.4423
rate,3,10,4,128.2569
rate,4,1,0,1135.4650
rate,4,1,1,652.1392
rate,4,1,2,2009.9710
rate,4,1,3,1143.5163
rate,4,1,4,1094.7060
rate,4,2,0,1121.0062
rate,4,2,1,1112.2533
rate,4,2,2,1091.8837
rate,4,2,3,1114.8464
rate,4,2,4,652.6817
rate,4,3,0,1272.5795
rate,4,3,1,1270.4856
rate,4,3,2,145.5449
rate,4,3,3,1260.5733
rate,4,3,4,131.8307
rate,4,4,0,73.4978
rate,4,4,1,970.1030
rate,4,4,2,98.0746
rate,4,4,3,100.8114
rate,4,4,4,70.5157
rate,4,5,0,136.2451
rate,4,5,1,128.6033
rate,4,5,2,1465.2912
rate,4,5,3,99.6063
rate,4,5,4,134.2804
rate,4,6,0,1258.3194
rate,4,6,1,127.7123
rate,4,6,2,1255.3160
rate,4,6,3,1267.3006
rate,4,6,4,1263.9613
rate,4,7,0,1113.1524
rate,4,7,1,1096.8779
rate,4,7,2,1104.7825
rate,4,7,3,1096.6421
rate,4,7,4,1119.9259
rate,4,8,0,107.3808
rate,4,8,1,976.1086
rate,4,8,2,973.9959
rate,4,8,3,969.6669
rate,4,8,4,977.7150
rate,4,9,0,892.2617
rate,4,9,1,113.3691
rate,4,9,2,113.2512
rate,4,9,3,906.5692
rate,4,9,4,899.2342
rate,4,10,0,108.3006
rate,4,10,1,108.6011
rate,4,10,2,827.4597
rate,4,10,3,800.4554
rate,4,10,4,106.6481
rate,5,1,0,1953.4394
rate,5,1,1,1061.6406
rate,5,1,2,1965.6350
rate,5,1,3,1975.9931
rate,5,1,4,1058.3695
rate,5,2,0,1984.6698
rate,5,2,1,1906.7653
rate,5,2,2,687.4582
rate,5,2,3,1952.1439
rate,5,2,4,1964.7190
rate,5,3,0,134.4143
rate,5,3,1,132.4581
rate,5,3,2,148.9372
rate,5,3,3,142.9907
rate,5,3,4,140.8077
rate,5,4,0,112.8432
rate,5,4,1,989.0590
rate,5,4,2,68.6139
rate,5,4,3,103.7030
rate,5,4,4,103.3096
rate,5,5,0,123.9985
rate,5,5,1,129.5072
rate,5,5,2,1467.3095
rate,5,5,3,128.9940
rate,5,5,4,134.9015
rate,5,6,0,132.6362
rate,5,6,1,131.5325
