method,test,from,to,run,time_ms
set_frequency,freq,0,0,0,11.6420
schedule_retune,freq,0,0,0,1.2178
set_frequency,freq,0,0,1,11.5007
schedule_retune,freq,0,0,1,0.3440
set_frequency,freq,0,0,2,11.8283
schedule_retune,freq,0,0,2,0.3444
set_frequency,freq,0,0,3,10.7053
schedule_retune,freq,0,0,3,0.3489
set_frequency,freq,0,0,4,11.1302
schedule_retune,freq,0,0,4,0.3048
set_frequency,freq,0,0,5,11.6599
schedule_retune,freq,0,0,5,0.3148
set_frequency,freq,0,0,6,11.3865
schedule_retune,freq,0,0,6,0.3504
set_frequency,freq,0,0,7,11.0491
schedule_retune,freq,0,0,7,0.3570
set_frequency,freq,0,0,8,11.4163
schedule_retune,freq,0,0,8,0.3529
set_frequency,freq,0,0,9,11.9747
schedule_retune,freq,0,0,9,0.3528
set_frequency,freq,0,0,10,11.4685
schedule_retune,freq,0,0,10,0.3448
set_frequency,freq,0,0,11,11.8042
schedule_retune,freq,0,0,11,0.3508
set_frequency,freq,0,0,12,12.8572
schedule_retune,freq,0,0,12,0.3354
set_frequency,freq,0,0,13,12.0744
schedule_retune,freq,0,0,13,0.3405
set_frequency,freq,0,0,14,12.1213
schedule_retune,freq,0,0,14,0.3450
set_frequency,freq,0,0,15,13.7732
schedule_retune,freq,0,0,15,0.3067
set_frequency,freq,0,0,16,12.5927
schedule_retune,freq,0,0,16,0.3159
set_frequency,freq,0,0,17,11.7564
schedule_retune,freq,0,0,17,0.3036
set_frequency,freq,0,0,18,13.5413
schedule_retune,freq,0,0,18,0.3206
set_frequency,freq,0,0,19,13.8510
schedule_retune,freq,0,0,19,0.3547
set_frequency,freq_noop,0,0,0,0.6917
schedule_retune,freq_noop,0,0,0,0.3056
set_frequency,freq_noop,0,0,1,0.6340
schedule_retune,freq_noop,0,0,1,0.3457
set_frequency,freq_noop,0,0,2,0.7681
schedule_retune,freq_noop,0,0,2,0.3046
set_frequency,freq_noop,0,0,3,0.7535
schedule_retune,freq_noop,0,0,3,0.3108
set_frequency,freq_noop,0,0,4,0.6744
schedule_retune,freq_noop,0,0,4,0.3437
set_frequency,freq_noop,0,0,5,0.6333
schedule_retune,freq_noop,0,0,5,0.3050
set_frequency,freq_noop,0,0,6,0.6308
schedule_retune,freq_noop,0,0,6,0.3060
set_frequency,freq_noop,0,0,7,0.6540
schedule_retune,freq_noop,0,0,7,0.2953
set_frequency,freq_noop,0,0,8,0.7114
schedule_retune,freq_noop,0,0,8,0.3091
set_frequency,freq_noop,0,0,9,0.6759
schedule_retune,freq_noop,0,0,9,0.3443
set_frequency,freq_noop,0,0,10,0.6710
schedule_retune,freq_noop,0,0,10,0.3107
set_frequency,freq_noop,0,0,11,0.6316
schedule_retune,freq_noop,0,0,11,0.3438
set_frequency,freq_noop,0,0,12,0.6710
schedule_retune,freq_noop,0,0,12,0.3445
set_frequency,freq_noop,0,0,13,0.7966
schedule_retune,freq_noop,0,0,13,0.3382
set_frequency,freq_noop,0,0,14,1.0046
schedule_retune,freq_noop,0,0,14,0.3453
set_frequency,freq_noop,0,0,15,0.8735
schedule_retune,freq_noop,0,0,15,0.3449
set_frequency,freq_noop,0,0,16,0.7794
schedule_retune,freq_noop,0,0,16,0.3068
set_frequency,freq_noop,0,0,17,0.7486
schedule_retune,freq_noop,0,0,17,0.3228
set_frequency,freq_noop,0,0,18,0.6832
schedule_retune,freq_noop,0,0,18,0.3474
set_frequency,freq_noop,0,0,19,0.6884
schedule_retune,freq_noop,0,0,19,0.3081
set_frequency,freq_1mhz,0,0,0,0.7193
schedule_retune,freq_1mhz,0,0,0,1.2240
set_frequency,freq_1mhz,0,0,1,11.3197
schedule_retune,freq_1mhz,0,0,1,1.2231
set_frequency,freq_1mhz,0,0,2,13.1761
schedule_retune,freq_1mhz,0,0,2,1.2259
set_frequency,freq_1mhz,0,0,3,12.0388
schedule_retune,freq_1mhz,0,0,3,1.1899
set_frequency,freq_1mhz,0,0,4,14.4161
schedule_retune,freq_1mhz,0,0,4,1.2102
set_frequency,freq_1mhz,0,0,5,14.9146
schedule_retune,freq_1mhz,0,0,5,0.3444
set_frequency,freq_1mhz,0,0,6,14.1386
schedule_retune,freq_1mhz,0,0,6,0.3451
set_frequency,freq_1mhz,0,0,7,14.0981
schedule_retune,freq_1mhz,0,0,7,0.3081
set_frequency,freq_1mhz,0,0,8,14.0380
schedule_retune,freq_1mhz,0,0,8,0.3432
set_frequency,freq_1mhz,0,0,9,14.5963
schedule_retune,freq_1mhz,0,0,9,0.3081
set_frequency,freq_1mhz,0,0,10,11.4858
schedule_retune,freq_1mhz,0,0,10,0.3069
set_frequency,freq_1mhz,0,0,11,11.3011
schedule_retune,freq_1mhz,0,0,11,0.3341
set_frequency,freq_1mhz,0,0,12,11.2988
schedule_retune,freq_1mhz,0,0,12,0.3273
set_frequency,freq_1mhz,0,0,13,11.5778
schedule_retune,freq_1mhz,0,0,13,0.3343
set_frequency,freq_1mhz,0,0,14,11.8861
schedule_retune,freq_1mhz,0,0,14,0.3474
set_frequency,freq_1mhz,0,0,15,11.7066
schedule_retune,freq_1mhz,0,0,15,0.3431
set_frequency,freq_1mhz,0,0,16,11.7393
schedule_retune,freq_1mhz,0,0,16,0.3094
set_frequency,freq_1mhz,0,0,17,11.6572
schedule_retune,freq_1mhz,0,0,17,0.3450
set_frequency,freq_1mhz,0,0,18,11.2485
schedule_retune,freq_1mhz,0,0,18,0.3065
set_frequency,freq_1mhz,0,0,19,11.1189
schedule_retune,freq_1mhz,0,0,19,0.3355
set_frequency,grid,100,100,0,0.6121
set_frequency,grid,100,100,1,0.6027
set_frequency,grid,100,100,2,0.5962
set_frequency,grid,100,100,3,0.5981
set_frequency,grid,100,100,4,0.5959
set_frequency,grid,100,200,0,10.4890
set_frequency,grid,100,200,1,11.8713
set_frequency,grid,100,200,2,11.2190
set_frequency,grid,100,200,3,13.7504
set_frequency,grid,100,200,4,14.5806
set_frequency,grid,100,300,0,12.2753
set_frequency,grid,100,300,1,12.4458
set_frequency,grid,100,300,2,13.5717
set_frequency,grid,100,300,3,14.6921
set_frequency,grid,100,300,4,12.0133
set_frequency,grid,100,400,0,12.8363
set_frequency,grid,100,400,1,11.3441
set_frequency,grid,100,400,2,12.3021
set_frequency,grid,100,400,3,12.2292
set_frequency,grid,100,400,4,9.2922
set_frequency,grid,100,500,0,9.2898
set_frequency,grid,100,500,1,9.3067
set_frequency,grid,100,500,2,9.6208
set_frequency,grid,100,500,3,15.1574
set_frequency,grid,100,500,4,15.3800
set_frequency,grid,100,600,0,11.6201
set_frequency,grid,100,600,1,11.7701
set_frequency,grid,100,600,2,15.9864
set_frequency,grid,100,600,3,11.6314
set_frequency,grid,100,600,4,11.9860
set_frequency,grid,100,700,0,12.1233
set_frequency,grid,100,700,1,12.2249
set_frequency,grid,100,700,2,13.9463
set_frequency,grid,100,700,3,13.2394
set_frequency,grid,100,700,4,12.2314
set_frequency,grid,100,800,0,12.0620
set_frequency,grid,100,800,1,11.4497
set_frequency,grid,100,800,2,11.8495
set_frequency,grid,100,800,3,11.3448
set_frequency,grid,100,800,4,11.4823
set_frequency,grid,100,900,0,11.6282
set_frequency,grid,100,900,1,11.0371
set_frequency,grid,100,900,2,9.7073
set_frequency,grid,100,900,3,11.4283
set_frequency,grid,100,900,4,12.0023
set_frequency,grid,100,1000,0,11.3946
set_frequency,grid,100,1000,1,11.7914
set_frequency,grid,100,1000,2,11.3239
set_frequency,grid,100,1000,3,11.6631
set_frequency,grid,100,1000,4,11.2527
set_frequency,grid,200,100,0,11.4236
set_frequency,grid,200,100,1,10.2892
set_frequency,grid,200,100,2,9.1972
set_frequency,grid,200,100,3,9.0836
set_frequency,grid,200,100,4,9.1764
set_frequency,grid,200,200,0,0.7279
set_frequency,grid,200,200,1,0.6909
set_frequency,grid,200,200,2,0.6780
set_frequency,grid,200,200,3,0.7204
set_frequency,grid,200,200,4,0.5654
set_frequency,grid,200,300,0,11.4552
set_frequency,grid,200,300,1,11.6209
set_frequency,grid,200,300,2,11.7245
set_frequency,grid,200,300,3,11.9216
set_frequency,grid,200,300,4,10.8896
set_frequency,grid,200,400,0,11.7159
set_frequency,grid,200,400,1,11.0532
set_frequency,grid,200,400,2,11.9065
set_frequency,grid,200,400,3,11.5345
set_frequency,grid,200,400,4,11.3180
set_frequency,grid,200,500,0,11.3748
set_frequency,grid,200,500,1,11.1058
set_frequency,grid,200,500,2,12.0444
set_frequency,grid,200,500,3,11.4416
set_frequency,grid,200,500,4,11.3948
set_frequency,grid,200,600,0,11.6866
set_frequency,grid,200,600,1,11.9845
set_frequency,grid,200,600,2,11.0251
set_frequency,grid,200,600,3,11.5787
set_frequency,grid,200,600,4,11.7436
set_frequency,grid,200,700,0,11.5656
set_frequency,grid,200,700,1,10.9390
set_frequency,grid,200,700,2,11.4318
set_frequency,grid,200,700,3,11.6568
set_frequency,grid,200,700,4,11.4114
set_frequency,grid,200,800,0,11.4625
set_frequency,grid,200,800,1,11.5782
set_frequency,grid,200,800,2,11.4179
set_frequency,grid,200,800,3,11.3258
set_frequency,grid,200,800,4,12.1363
set_frequency,grid,200,900,0,11.6117
set_frequency,grid,200,900,1,12.1144
set_frequency,grid,200,900,2,11.8448
set_frequency,grid,200,900,3,11.1754
set_frequency,grid,200,900,4,14.7927
set_frequency,grid,200,1000,0,12.5028
set_frequency,grid,200,1000,1,11.8937
set_frequency,grid,200,1000,2,11.6425
set_frequency,grid,200,1000,3,12.1439
set_frequency,grid,200,1000,4,11.5945
set_frequency,grid,300,100,0,11.6472
set_frequency,grid,300,100,1,11.6183
set_frequency,grid,300,100,2,10.7663
set_frequency,grid,300,100,3,11.7367
set_frequency,grid,300,100,4,11.6280
set_frequency,grid,300,200,0,9.0882
set_frequency,grid,300,200,1,9.1197
set_frequency,grid,300,200,2,9.9086
set_frequency,grid,300,200,3,15.0594
set_frequency,grid,300,200,4,11.7851
set_frequency,grid,300,300,0,0.6773
set_frequency,grid,300,300,1,0.6612
set_frequency,grid,300,300,2,0.6897
set_frequency,grid,300,300,3,0.7034
set_frequency,grid,300,300,4,0.6827
set_frequency,grid,300,400,0,11.2454
set_frequency,grid,300,400,1,9.1768
set_frequency,grid,300,400,2,9.6351
set_frequency,grid,300,400,3,9.0113
