param,from,to,run,time_ms
rate,1,1,0,69.3332
rate,1,1,1,69.0093
rate,1,1,2,69.3668
rate,1,1,3,71.4684
rate,1,1,4,78.9692
rate,1,2,0,992.7336
rate,1,2,1,989.4841
rate,1,2,2,977.9241
rate,1,2,3,991.4273
rate,1,2,4,979.5578
rate,1,3,0,1108.4704
rate,1,3,1,1103.5066
rate,1,3,2,1084.4426
rate,1,3,3,1095.9023
rate,1,3,4,481.4321
rate,1,4,0,855.7200
rate,1,4,1,889.0311
rate,1,4,2,883.1277
rate,1,4,3,879.1792
rate,1,4,4,887.9013
rate,1,5,0,907.0488
rate,1,5,1,2166.2469
rate,1,5,2,877.8501
rate,1,5,3,2207.8614
rate,1,5,4,876.4432
rate,1,6,0,1873.3998
rate,1,6,1,1939.0555
rate,1,6,2,1926.0851
rate,1,6,3,1929.1805
rate,1,6,4,1937.3256
rate,1,7,0,1779.9275
rate,1,7,1,1770.2239
rate,1,7,2,1786.0999
rate,1,7,3,1774.5231
rate,1,7,4,1758.9543
rate,1,8,0,1239.9303
rate,1,8,1,1286.1336
rate,1,8,2,1281.0712
rate,1,8,3,1284.0999
rate,1,8,4,1273.7002
rate,1,9,0,1204.7174
rate,1,9,1,1203.3967
rate,1,9,2,1205.5310
rate,1,9,3,1190.9149
rate,1,9,4,1155.4701
rate,1,10,0,1132.1841
rate,1,10,1,1118.0645
rate,1,10,2,1153.2239
rate,1,10,3,1169.0371
rate,1,10,4,1146.7787
rate,2,1,0,79.2821
rate,2,1,1,79.9960
rate,2,1,2,78.2417
rate,2,1,3,79.1279
rate,2,1,4,99.9112
rate,2,2,0,102.3328
rate,2,2,1,96.5735
rate,2,2,2,103.6571
rate,2,2,3,92.7779
rate,2,2,4,99.4414
rate,2,3,0,486.3757
rate,2,3,1,439.5558
rate,2,3,2,491.1434
rate,2,3,3,483.6794
rate,2,3,4,466.8294
rate,2,4,0,400.2780
rate,2,4,1,409.4463
rate,2,4,2,395.4542
rate,2,4,3,391.1989
rate,2,4,4,412.4403
rate,2,5,0,2233.3569
rate,2,5,1,468.2063
rate,2,5,2,523.5281
rate,2,5,3,2226.5061
rate,2,5,4,1815.8837
rate,2,6,0,1934.0485
rate,2,6,1,1901.1918
rate,2,6,2,1927.6875
rate,2,6,3,1896.2471
rate,2,6,4,1913.0385
rate,2,7,0,1761.3366
rate,2,7,1,1780.8384
rate,2,7,2,1767.9404
rate,2,7,3,1776.6034
rate,2,7,4,1762.1617
rate,2,8,0,1280.7696
rate,2,8,1,1282.8135
rate,2,8,2,1255.6965
rate,2,8,3,1266.4144
rate,2,8,4,1261.5556
rate,2,9,0,1206.1358
rate,2,9,1,1200.2213
rate,2,9,2,1174.7624
rate,2,9,3,1202.5868
rate,2,9,4,1181.5493
rate,2,10,0,1170.6574
rate,2,10,1,1177.7404
rate,2,10,2,1163.2033
rate,2,10,3,1151.0144
rate,2,10,4,1172.8532
rate,3,1,0,655.6997
rate,3,1,1,610.1294
rate,3,1,2,636.8082
rate,3,1,3,649.5563
rate,3,1,4,669.2869
rate,3,2,0,689.0017
rate,3,2,1,695.4491
rate,3,2,2,696.9877
rate,3,2,3,698.7430
rate,3,2,4,1556.8402
rate,3,3,0,117.5478
rate,3,3,1,114.1814
rate,3,3,2,113.2436
rate,3,3,3,112.2612
rate,3,3,4,112.4343
rate,3,4,0,102.4548
rate,3,4,1,99.6412
rate,3,4,2,94.5069
