method,iteration,from_hz,to_hz,time_us
soapy,0,5404411000,756411000,119160.3
soapy,1,756411000,930175000,11062.3
soapy,2,930175000,536937000,10583.5
soapy,3,536937000,1817426000,115663.7
soapy,4,1817426000,4679254000,115960.1
soapy,5,4679254000,4973156000,10637.6
soapy,6,4973156000,2445400000,114753.7
soapy,7,2445400000,4973067000,114017.4
soapy,8,4973067000,3929173000,113800.7
soapy,9,3929173000,5699496000,114046.6
soapy,10,5699496000,570134000,114250.5
soapy,11,570134000,885767000,10573.7
soapy,12,885767000,5893679000,115136.6
soapy,13,5893679000,885767000,115182.0
soapy,14,885767000,1741726000,114665.9
soapy,15,1741726000,1375980000,10235.3
soapy,16,1375980000,4716751000,114049.3
soapy,17,4716751000,3191036000,114374.9
soapy,18,3191036000,5754926000,113950.2
soapy,19,5754926000,5004153000,10588.1
soapy,20,5004153000,5535647000,10523.2
soapy,21,5535647000,536937000,114911.3
soapy,22,536937000,1308034000,115059.4
soapy,23,1308034000,4877892000,114344.4
soapy,24,4877892000,586810000,115544.5
soapy,25,586810000,997296000,10615.7
soapy,26,997296000,3991414000,116820.5
soapy,27,3991414000,756411000,115412.0
soapy,28,756411000,4633769000,115861.3
soapy,29,4633769000,5002199000,10579.1
soapy,30,5002199000,4409125000,10814.8
soapy,31,4409125000,1243326000,114214.4
soapy,32,1243326000,3076262000,115981.1
soapy,33,3076262000,3774305000,10637.4
soapy,34,3774305000,3076262000,10833.4
soapy,35,3076262000,5736510000,115832.5
soapy,36,5736510000,1543358000,120327.3
soapy,37,1543358000,1067057000,113894.3
soapy,38,1067057000,1975497000,114394.2
soapy,39,1975497000,4934155000,114793.3
soapy,40,4934155000,2838388000,114823.6
soapy,41,2838388000,4055700000,116977.8
soapy,42,4055700000,5154907000,10942.6
soapy,43,5154907000,5336431000,10692.5
soapy,44,5336431000,581262000,115475.3
soapy,45,581262000,3636445000,116587.0
soapy,46,3636445000,4383797000,116274.4
soapy,47,4383797000,3384727000,117355.2
soapy,48,3384727000,2930889000,10815.9
soapy,49,2930889000,3299593000,10480.3
soapy,50,3299593000,3929173000,10670.0
soapy,51,3929173000,5754926000,119334.8
soapy,52,5754926000,891714000,116564.9
soapy,53,891714000,170149000,10774.4
soapy,54,170149000,5156141000,114805.9
soapy,55,5156141000,3384727000,115344.9
soapy,56,3384727000,3537789000,10529.2
soapy,57,3537789000,2667158000,10599.2
soapy,58,2667158000,3299593000,10483.2
soapy,59,3299593000,4934155000,114790.4
soapy,60,4934155000,2183084000,116028.6
soapy,61,2183084000,570134000,117676.7
soapy,62,570134000,5448195000,116415.2
