fe:8e:02:65:9e:e9	34:83:b4:d2:81:b4
fe:01:2c:c4:36:34	f3:c1:46:45:0d:87
fd:a9:93:ba:36:33	4e:1e:13:d2:76:5c
fc:4e:95:07:6d:63	0x1205
fc:35:eb:9b:39:96	57:6c:2d:6c:d7:8b
f9:d6:f5:77:8d:15	58:d1:4a:9e:e1:f3
f8:57:b8:4f:f3:e1	00:71:6c:6b:0b:f7
f7:51:0a:30:bf:4f	35:16:a2:ce:fb:da
f6:7a:b8:45:39:ac	0x08ae
f4:ec:e1:b1:d6:b0	f6:a0:96:2a:9c:09
f3:aa:3b:3c:3c:20	6e:59:4e:54:90:80
f3:64:13:fa:dc:65	1d:87:eb:fe:ea:51
f2:51:a8:03:66:c5	96:b3:b8:19:60:39
f1:70:9c:d7:ec:50	a0:17:94:9e:b0:32
ee:e8:89:c9:5c:8f	0x0899
ee:72:0c:12:13:84	a7:8e:e7:63:f7:4c
ec:6d:f9:7a:a5:f4	74:d1:aa:f6:29:e2
ec:4d:b6:0b:69:bf	97:95:9d:a0:05:d2
eb:6c:c7:96:43:95	bd:8d:02:aa:54:b7
ea:09:2b:88:b0:7c	24:81:6c:18:38:99
e9:f9:8d:fb:af:05	0x0d61
e9:80:bb:ce:05:b6	c3:cd:31:3c:05:a5
e9:64:8d:2c:06:7b	db:2c:f5:29:8c:51
e8:d7:bd:b6:2a:4a	b4:9f:9d:c3:4a:dc
e8:5e:76:cf:7f:e5	c8:93:3c:45:ac:55
e7:9d:81:46:01:5b	5e:1f:f5:d5:fc:d0
e7:74:a7:3f:b8:97	0x07d8
e5:9f:f2:7e:42:50	0x0d46
e5:95:f2:7d:9c:a1	11:7b:b6:01:8b:6d
e4:06:c2:cb:59:2b	55:41:68:9b:c1:be
e3:5b:a9:a3:fa:b1	0x07c8
e2:54:71:48:e1:be	62:9f:38:88:1c:26
df:c6:26:6a:f1:8e	0x0d6e
df:9f:7d:03:9d:6c	2e:9c:33:a5:ec:09
dd:b5:9a:b1:b2:f0	fc:13:ec:ed:b6:47
dd:7a:7b:dc:eb:5c	a8:73:7d:3a:a1:2d
dc:b2:88:46:16:9f	a1:99:0e:eb:91:c6
dc:92:e2:b1:9c:93	0x1f4b
