version,ifs_ms,received,sent,per
v6,10.0,1000,1000,0.0
v6,9.9,1000,1000,0.0
v6,9.8,1000,1000,0.0
v6,9.7,1001,1000,0.0
v6,9.6,1001,1000,0.0
v6,9.5,1000,1000,0.0
v6,9.4,998,1000,0.0020000000000000018
v6,9.3,1000,1000,0.0
v6,9.2,1002,1000,0.0
v6,9.1,1000,1000,0.0
v6,9.0,1001,1000,0.0
v6,8.9,999,1000,0.0010000000000000009
v6,8.8,1001,1000,0.0
v6,8.7,1000,1000,0.0
v6,8.6,1001,1000,0.0
v6,8.5,1000,1000,0.0
v6,8.4,1000,1000,0.0
v6,8.3,999,1000,0.0010000000000000009
v6,8.2,1000,1000,0.0
v6,8.1,1001,1000,0.0
v6,8.0,999,1000,0.0010000000000000009
v6,7.9,1001,1000,0.0
v6,7.8,1002,1000,0.0
v6,7.7,999,1000,0.0010000000000000009
v6,7.6,1001,1000,0.0
v6,7.5,1002,1000,0.0
v6,7.4,998,1000,0.0020000000000000018
v6,7.3,999,1000,0.0010000000000000009
v6,7.2,1000,1000,0.0
v6,7.1,1000,1000,0.0
v6,7.0,1001,1000,0.0
v6,6.9,999,1000,0.0010000000000000009
v6,6.8,1000,1000,0.0
v6,6.7,1000,1000,0.0
v6,6.6,1001,1000,0.0
v6,6.5,1001,1000,0.0
v6,6.4,999,1000,0.0010000000000000009
v6,6.3,1001,1000,0.0
v6,6.2,1001,1000,0.0
v6,6.1,1000,1000,0.0
v6,6.0,1001,1000,0.0
v6,5.9,1001,1000,0.0
v6,5.8,998,1000,0.0020000000000000018
v6,5.7,1000,1000,0.0
v6,5.6,994,1000,0.006000000000000005
v6,5.5,1001,1000,0.0
v6,5.4,1000,1000,0.0
v6,5.3,998,1000,0.0020000000000000018
v6,5.2,1000,1000,0.0
v6,5.1,1001,1000,0.0
v6,5.0,1000,1000,0.0
v6,4.9,999,1000,0.0010000000000000009
v6,4.8,1000,1000,0.0
v6,4.7,999,1000,0.0010000000000000009
v6,4.6,999,1000,0.0010000000000000009
v6,4.5,1000,1000,0.0
v6,4.4,1000,1000,0.0
v6,4.3,998,1000,0.0020000000000000018
v6,4.2,1001,1000,0.0
v6,4.1,998,1000,0.0020000000000000018
v6,4.0,1000,1000,0.0
v6,3.9,1001,1000,0.0
v6,3.8,1000,1000,0.0
v6,3.7,999,1000,0.0010000000000000009
v6,3.6,999,1000,0.0010000000000000009
v6,3.5,1000,1000,0.0
v6,3.4,999,1000,0.0010000000000000009
v6,3.3,999,1000,0.0010000000000000009
v6,3.2,994,1000,0.006000000000000005
v6,3.1,999,1000,0.0010000000000000009
v6,3.0,1001,1000,0.0
v6,2.9,998,1000,0.0020000000000000018
v6,2.8,1000,1000,0.0
v6,2.7,999,1000,0.0010000000000000009
v6,2.6,999,1000,0.0010000000000000009
v6,2.5,999,1000,0.0010000000000000009
v6,2.4,999,1000,0.0010000000000000009
v6,2.3,999,1000,0.0010000000000000009
v6,2.2,999,1000,0.0010000000000000009
v6,2.1,1000,1000,0.0
v6,2.0,998,1000,0.0020000000000000018
v6,1.9,998,1000,0.0020000000000000018
v6,1.8,999,1000,0.0010000000000000009
v6,1.7,1000,1000,0.0
v6,1.6,998,1000,0.0020000000000000018
v6,1.5,997,1000,0.0030000000000000027
v6,1.4,998,1000,0.0020000000000000018
v6,1.3,996,1000,0.0040000000000000036
v6,1.2,0,1000,1.0
v6,1.1,998,1000,0.0020000000000000018
v6,1.0,1000,1000,0.0
v6,0.9,998,1000,0.0020000000000000018
v6,0.8,999,1000,0.0010000000000000009
v6,0.7,1001,1000,0.0
v6,0.6,997,1000,0.0030000000000000027
v6,0.5,999,1000,0.0010000000000000009
v6,0.4,997,1000,0.0030000000000000027
v6,0.3,1001,1000,0.0
v6,0.2,997,1000,0.0030000000000000027
v6,0.1,997,1000,0.0030000000000000027
