idx,t_rel_s,delta_ms,len,version,payload_prefix
1,2.456664989,NaN,99,v6,1c000000aadd9f4dc5b5689531450000
2,5.274986233,2818.321244,30,v6,88000000ffffffffffffa8dd9f4dc5b5
3,5.286310919,11.324686,30,v6,88000000ffffffffffffa8dd9f4dc5b5
4,5.297345838,11.034919,30,v6,88000000ffffffffffffa8dd9f4dc5b5
5,5.307638073,10.292235,30,v6,88000000ffffffffffffa8dd9f4dc5b5
6,5.318764005,11.125932,30,v6,88000000ffffffffffffa8dd9f4dc5b5
7,5.329774948,11.010943,30,v6,88000000ffffffffffffa8dd9f4dc5b5
8,5.339967564,10.192616,30,v6,88000000ffffffffffffa8dd9f4dc5b5
9,5.351281570,11.314006,30,v6,88000000ffffffffffffa8dd9f4dc5b5
10,5.362289126,11.007556,30,v6,88000000ffffffffffffa8dd9f4dc5b5
11,5.373712702,11.423576,30,v6,88000000ffffffffffffa8dd9f4dc5b5
12,5.384919161,11.206459,30,v6,88000000ffffffffffffa8dd9f4dc5b5
13,5.395046440,10.127279,30,v6,88000000ffffffffffffa8dd9f4dc5b5
14,5.406097521,11.051081,30,v6,88000000ffffffffffffa8dd9f4dc5b5
15,5.416253065,10.155544,30,v6,88000000ffffffffffffa8dd9f4dc5b5
16,5.427575386,11.322321,30,v6,88000000ffffffffffffa8dd9f4dc5b5
17,5.437689263,10.113877,30,v6,88000000ffffffffffffa8dd9f4dc5b5
18,5.448945593,11.256330,30,v6,88000000ffffffffffffa8dd9f4dc5b5
19,5.459247297,10.301704,30,v6,88000000ffffffffffffa8dd9f4dc5b5
20,5.470249485,11.002188,30,v6,88000000ffffffffffffa8dd9f4dc5b5
21,5.480399254,10.149769,30,v6,88000000ffffffffffffa8dd9f4dc5b5
22,5.491626938,11.227684,30,v6,88000000ffffffffffffa8dd9f4dc5b5
23,5.501852496,10.225558,30,v6,88000000ffffffffffffa8dd9f4dc5b5
24,5.513648657,11.796161,30,v6,88000000ffffffffffffa8dd9f4dc5b5
25,5.523959807,10.311150,30,v6,88000000ffffffffffffa8dd9f4dc5b5
26,5.534999429,11.039622,30,v6,88000000ffffffffffffa8dd9f4dc5b5
27,5.545227790,10.228361,30,v6,88000000ffffffffffffa8dd9f4dc5b5
28,5.556484475,11.256685,30,v6,88000000ffffffffffffa8dd9f4dc5b5
29,5.566685276,10.200801,30,v6,88000000ffffffffffffa8dd9f4dc5b5
30,5.577658892,10.973616,30,v6,88000000ffffffffffffa8dd9f4dc5b5
31,5.587976847,10.317955,30,v6,88000000ffffffffffffa8dd9f4dc5b5
32,5.599230574,11.253727,30,v6,88000000ffffffffffffa8dd9f4dc5b5
