version,ifs_ms,received,sent,per
v6,10.0,1001,100,0.0
v6,9.9,1000,100,0.0
v6,9.8,1000,100,0.0
v6,9.7,1001,100,0.0
v6,9.6,1002,100,0.0
v6,9.5,1001,100,0.0
v6,9.4,1000,100,0.0
v6,9.3,1001,100,0.0
v6,9.2,1001,100,0.0
v6,9.1,998,100,0.0
v6,9.0,1002,100,0.0
v6,8.9,1001,100,0.0
v6,8.8,999,100,0.0
v6,8.7,999,100,0.0
v6,8.6,998,100,0.0
v6,8.5,999,100,0.0
v6,8.4,998,100,0.0
v6,8.3,1001,100,0.0
v6,8.2,1000,100,0.0
v6,8.1,1002,100,0.0
v6,8.0,1000,100,0.0
v6,7.9,999,100,0.0
v6,7.8,999,100,0.0
v6,7.7,1001,100,0.0
v6,7.6,998,100,0.0
v6,7.5,1000,100,0.0
v6,7.4,999,100,0.0
v6,7.3,999,100,0.0
v6,7.2,998,100,0.0
v6,7.1,1002,100,0.0
v6,7.0,1000,100,0.0
v6,6.9,998,100,0.0
v6,6.8,1000,100,0.0
v6,6.7,1001,100,0.0
v6,6.6,1001,100,0.0
v6,6.5,1001,100,0.0
v6,6.4,1001,100,0.0
v6,6.3,999,100,0.0
v6,6.2,998,100,0.0
v6,6.1,1001,100,0.0
v6,6.0,1000,100,0.0
v6,5.9,1001,100,0.0
v6,5.8,1000,100,0.0
v6,5.7,1000,100,0.0
v6,5.6,1000,100,0.0
v6,5.5,999,100,0.0
v6,5.4,1001,100,0.0
v6,5.3,1000,100,0.0
v6,5.2,1001,100,0.0
v6,5.1,1000,100,0.0
v6,5.0,1001,100,0.0
v6,4.9,1000,100,0.0
v6,4.8,996,100,0.0
v6,4.7,999,100,0.0
v6,4.6,999,100,0.0
v6,4.5,1001,100,0.0
v6,4.4,1001,100,0.0
v6,4.3,998,100,0.0
v6,4.2,1001,100,0.0
v6,4.1,1000,100,0.0
v6,4.0,1001,100,0.0
v6,3.9,1000,100,0.0
v6,3.8,1000,100,0.0
v6,3.7,1000,100,0.0
v6,3.6,1000,100,0.0
v6,3.5,1001,100,0.0
v6,3.4,998,100,0.0
v6,3.3,999,100,0.0
v6,3.2,999,100,0.0
v6,3.1,999,100,0.0
v6,3.0,1000,100,0.0
v6,2.9,999,100,0.0
v6,2.8,1001,100,0.0
v6,2.7,1001,100,0.0
v6,2.6,998,100,0.0
v6,2.5,1000,100,0.0
v6,2.4,1000,100,0.0
v6,2.3,1000,100,0.0
v6,2.2,0,100,1.0
v6,2.1,995,100,0.0
v6,2.0,999,100,0.0
v6,1.9,998,100,0.0
v6,1.8,1000,100,0.0
v6,1.7,998,100,0.0
v6,1.6,1000,100,0.0
v6,1.5,997,100,0.0
v6,1.4,1000,100,0.0
v6,1.3,998,100,0.0
v6,1.2,1000,100,0.0
v6,1.1,997,100,0.0
v6,1.0,997,100,0.0
v6,0.9,999,100,0.0
v6,0.8,997,100,0.0
v6,0.7,997,100,0.0
v6,0.6,999,100,0.0
v6,0.5,999,100,0.0
v6,0.4,996,100,0.0
v6,0.3,997,100,0.0
v6,0.2,998,100,0.0
v6,0.1,1000,100,0.0
v2,10.0,37,100,0.63
v2,9.9,100,100,0.0
v2,9.8,100,100,0.0
v2,9.7,100,100,0.0
v2,9.6,100,100,0.0
v2,9.5,101,100,0.0
v2,9.4,100,100,0.0
v2,9.3,100,100,0.0
v2,9.2,100,100,0.0
v2,9.1,100,100,0.0
v2,9.0,101,100,0.0
v2,8.9,100,100,0.0
v2,8.8,100,100,0.0
v2,8.7,100,100,0.0
v2,8.6,100,100,0.0
v2,8.5,100,100,0.0
v2,8.4,101,100,0.0
v2,8.3,100,100,0.0
v2,8.2,100,100,0.0
v2,8.1,100,100,0.0
v2,8.0,100,100,0.0
v2,7.9,101,100,0.0
v2,7.8,100,100,0.0
v2,7.7,100,100,0.0
v2,7.6,100,100,0.0
v2,7.5,100,100,0.0
v2,7.4,100,100,0.0
v2,7.3,101,100,0.0
v2,7.2,100,100,0.0
v2,7.1,100,100,0.0
v2,7.0,100,100,0.0
v2,6.9,100,100,0.0
v2,6.8,100,100,0.0
v2,6.7,101,100,0.0
v2,6.6,100,100,0.0
v2,6.5,100,100,0.0
v2,6.4,100,100,0.0
v2,6.3,100,100,0.0
v2,6.2,100,100,0.0
v2,6.1,100,100,0.0
v2,6.0,100,100,0.0
v2,5.9,100,100,0.0
v2,5.8,100,100,0.0
v2,5.7,100,100,0.0
v2,5.6,100,100,0.0
v2,5.5,100,100,0.0
v2,5.4,100,100,0.0
v2,5.3,100,100,0.0
v2,5.2,100,100,0.0
v2,5.1,100,100,0.0
v2,5.0,100,100,0.0
v2,4.9,100,100,0.0
v2,4.8,100,100,0.0
v2,4.7,101,100,0.0
v2,4.6,100,100,0.0
v2,4.5,100,100,0.0
v2,4.4,100,100,0.0
v2,4.3,100,100,0.0
v2,4.2,100,100,0.0
v2,4.1,100,100,0.0
v2,4.0,100,100,0.0
v2,3.9,101,100,0.0
v2,3.8,100,100,0.0
v2,3.7,100,100,0.0
v2,3.6,100,100,0.0
v2,3.5,100,100,0.0
v2,3.4,100,100,0.0
v2,3.3,100,100,0.0
v2,3.2,100,100,0.0
v2,3.1,100,100,0.0
v2,3.0,100,100,0.0
v2,2.9,100,100,0.0
v2,2.8,100,100,0.0
v2,2.7,100,100,0.0
v2,2.6,100,100,0.0
v2,2.5,100,100,0.0
v2,2.4,100,100,0.0
v2,2.3,100,100,0.0
v2,2.2,100,100,0.0
v2,2.1,100,100,0.0
v2,2.0,94,100,0.06000000000000005
v2,1.9,98,100,0.020000000000000018
v2,1.8,98,100,0.020000000000000018
v2,1.7,96,100,0.040000000000000036
v2,1.6,99,100,0.010000000000000009
v2,1.5,93,100,0.06999999999999995
v2,1.4,97,100,0.030000000000000027
v2,1.3,90,100,0.09999999999999998
v2,1.2,86,100,0.14
v2,1.1,88,100,0.12
v2,1.0,89,100,0.10999999999999999
v2,0.9,76,100,0.24
v2,0.8,54,100,0.45999999999999996
v2,0.7,79,100,0.20999999999999996
v2,0.6,62,100,0.38
v2,0.5,47,100,0.53
v2,0.4,29,100,0.71
v2,0.3,18,100,0.8200000000000001
v2,0.2,7,100,0.9299999999999999
v2,0.1,6,100,0.94
v4,10.0,100,100,0.0
v4,9.9,100,100,0.0
v4,9.8,100,100,0.0
v4,9.7,100,100,0.0
v4,9.6,101,100,0.0
v4,9.5,100,100,0.0
v4,9.4,100,100,0.0
v4,9.3,100,100,0.0
v4,9.2,100,100,0.0
v4,9.1,101,100,0.0
v4,9.0,100,100,0.0
v4,8.9,100,100,0.0
v4,8.8,100,100,0.0
v4,8.7,100,100,0.0
v4,8.6,100,100,0.0
v4,8.5,101,100,0.0
v4,8.4,100,100,0.0
v4,8.3,100,100,0.0
v4,8.2,100,100,0.0
v4,8.1,100,100,0.0
v4,8.0,101,100,0.0
v4,7.9,100,100,0.0
v4,7.8,100,100,0.0
v4,7.7,100,100,0.0
v4,7.6,100,100,0.0
v4,7.5,100,100,0.0
v4,7.4,101,100,0.0
v4,7.3,100,100,0.0
v4,7.2,100,100,0.0
v4,7.1,100,100,0.0
v4,7.0,100,100,0.0
v4,6.9,100,100,0.0
v4,6.8,100,100,0.0
v4,6.7,100,100,0.0
v4,6.6,100,100,0.0
v4,6.5,100,100,0.0
v4,6.4,100,100,0.0
v4,6.3,0,100,1.0
v4,6.2,100,100,0.0
v4,6.1,100,100,0.0
v4,6.0,100,100,0.0
v4,5.9,100,100,0.0
v4,5.8,100,100,0.0
v4,5.7,100,100,0.0
v4,5.6,100,100,0.0
v4,5.5,100,100,0.0
v4,5.4,100,100,0.0
v4,5.3,100,100,0.0
v4,5.2,100,100,0.0
v4,5.1,100,100,0.0
v4,5.0,100,100,0.0
v4,4.9,100,100,0.0
v4,4.8,100,100,0.0
v4,4.7,100,100,0.0
v4,4.6,100,100,0.0
v4,4.5,100,100,0.0
v4,4.4,100,100,0.0
v4,4.3,100,100,0.0
v4,4.2,100,100,0.0
v4,4.1,100,100,0.0
v4,4.0,100,100,0.0
v4,3.9,100,100,0.0
v4,3.8,100,100,0.0
v4,3.7,100,100,0.0
v4,3.6,100,100,0.0
v4,3.5,100,100,0.0
v4,3.4,100,100,0.0
v4,3.3,100,100,0.0
v4,3.2,100,100,0.0
v4,3.1,0,100,1.0
v4,3.0,100,100,0.0
v4,2.9,100,100,0.0
v4,2.8,100,100,0.0
v4,2.7,100,100,0.0
v4,2.6,99,100,0.010000000000000009
v4,2.5,99,100,0.010000000000000009
v4,2.4,99,100,0.010000000000000009
v4,2.3,100,100,0.0
v4,2.2,100,100,0.0
v4,2.1,0,100,1.0
v4,2.0,99,100,0.010000000000000009
v4,1.9,100,100,0.0
v4,1.8,99,100,0.010000000000000009
v4,1.7,95,100,0.050000000000000044
v4,1.6,97,100,0.030000000000000027
v4,1.5,99,100,0.010000000000000009
v4,1.4,99,100,0.010000000000000009
v4,1.3,96,100,0.040000000000000036
v4,1.2,99,100,0.010000000000000009
v4,1.1,95,100,0.050000000000000044
v4,1.0,94,100,0.06000000000000005
v4,0.9,87,100,0.13
v4,0.8,91,100,0.08999999999999997
v4,0.7,81,100,0.18999999999999995
v4,0.6,64,100,0.36
v4,0.5,72,100,0.28
v4,0.4,44,100,0.56
v4,0.3,50,100,0.5
v4,0.2,28,100,0.72
v4,0.1,14,100,0.86
v5,10.0,96,100,0.040000000000000036
v5,9.9,86,100,0.14
v5,9.8,87,100,0.13
v5,9.7,86,100,0.14
v5,9.6,0,100,1.0
v5,9.5,85,100,0.15000000000000002
v5,9.4,85,100,0.15000000000000002
v5,9.3,85,100,0.15000000000000002
v5,9.2,83,100,0.17000000000000004
v5,9.1,86,100,0.14
v5,9.0,85,100,0.15000000000000002
v5,8.9,79,100,0.20999999999999996
v5,8.8,87,100,0.13
v5,8.7,80,100,0.19999999999999996
v5,8.6,84,100,0.16000000000000003
v5,8.5,85,100,0.15000000000000002
v5,8.4,89,100,0.10999999999999999
v5,8.3,88,100,0.12
v5,8.2,85,100,0.15000000000000002
v5,8.1,87,100,0.13
v5,8.0,85,100,0.15000000000000002
v5,7.9,87,100,0.13
v5,7.8,83,100,0.17000000000000004
v5,7.7,84,100,0.16000000000000003
v5,7.6,88,100,0.12
v5,7.5,0,100,1.0
v5,7.4,85,100,0.15000000000000002
v5,7.3,83,100,0.17000000000000004
v5,7.2,87,100,0.13
v5,7.1,85,100,0.15000000000000002
v5,7.0,87,100,0.13
v5,6.9,83,100,0.17000000000000004
v5,6.8,88,100,0.12
v5,6.7,82,100,0.18000000000000005
v5,6.6,86,100,0.14
v5,6.5,87,100,0.13
v5,6.4,85,100,0.15000000000000002
v5,6.3,89,100,0.10999999999999999
v5,6.2,89,100,0.10999999999999999
v5,6.1,84,100,0.16000000000000003
v5,6.0,88,100,0.12
v5,5.9,86,100,0.14
v5,5.8,87,100,0.13
v5,5.7,88,100,0.12
v5,5.6,89,100,0.10999999999999999
v5,5.5,90,100,0.09999999999999998
v5,5.4,84,100,0.16000000000000003
v5,5.3,88,100,0.12
v5,5.2,82,100,0.18000000000000005
v5,5.1,84,100,0.16000000000000003
v5,5.0,85,100,0.15000000000000002
v5,4.9,82,100,0.18000000000000005
v5,4.8,89,100,0.10999999999999999
v5,4.7,90,100,0.09999999999999998
v5,4.6,85,100,0.15000000000000002
v5,4.5,84,100,0.16000000000000003
v5,4.4,85,100,0.15000000000000002
v5,4.3,82,100,0.18000000000000005
v5,4.2,84,100,0.16000000000000003
v5,4.1,83,100,0.17000000000000004
v5,4.0,87,100,0.13
v5,3.9,89,100,0.10999999999999999
v5,3.8,87,100,0.13
v5,3.7,84,100,0.16000000000000003
v5,3.6,88,100,0.12
v5,3.5,83,100,0.17000000000000004
v5,3.4,82,100,0.18000000000000005
v5,3.3,88,100,0.12
v5,3.2,87,100,0.13
v5,3.1,87,100,0.13
v5,3.0,84,100,0.16000000000000003
v5,2.9,83,100,0.17000000000000004
v5,2.8,83,100,0.17000000000000004
v5,2.7,86,100,0.14
v5,2.6,88,100,0.12
v5,2.5,84,100,0.16000000000000003
v5,2.4,85,100,0.15000000000000002
v5,2.3,86,100,0.14
v5,2.2,88,100,0.12
v5,2.1,87,100,0.13
v5,2.0,82,100,0.18000000000000005
v5,1.9,88,100,0.12
v5,1.8,84,100,0.16000000000000003
v5,1.7,86,100,0.14
v5,1.6,86,100,0.14
v5,1.5,84,100,0.16000000000000003
v5,1.4,87,100,0.13
v5,1.3,87,100,0.13
v5,1.2,82,100,0.18000000000000005
v5,1.1,73,100,0.27
v5,1.0,82,100,0.18000000000000005
v5,0.9,85,100,0.15000000000000002
v5,0.8,173,100,0.0
v5,0.7,88,100,0.12
v5,0.6,82,100,0.18000000000000005
v5,0.5,84,100,0.16000000000000003
v5,0.4,74,100,0.26
v5,0.3,69,100,0.31000000000000005
v5,0.2,57,100,0.43000000000000005
v5,0.1,59,100,0.41000000000000003
v6,10.0,100,100,0.0
v6,9.9,100,100,0.0
v6,9.8,99,100,0.010000000000000009
v6,9.7,99,100,0.010000000000000009
v6,9.6,101,100,0.0
v6,9.5,100,100,0.0
v6,9.4,100,100,0.0
v6,9.3,100,100,0.0
v6,9.2,100,100,0.0
v6,9.1,101,100,0.0
v6,9.0,100,100,0.0
v6,8.9,100,100,0.0
v6,8.8,100,100,0.0
v6,8.7,100,100,0.0
v6,8.6,201,100,0.0
v6,8.5,100,100,0.0
v6,8.4,100,100,0.0
v6,8.3,99,100,0.010000000000000009
v6,8.2,100,100,0.0
v6,8.1,101,100,0.0
v6,8.0,100,100,0.0
v6,7.9,100,100,0.0
v6,7.8,100,100,0.0
v6,7.7,100,100,0.0
v6,7.6,100,100,0.0
v6,7.5,101,100,0.0
v6,7.4,100,100,0.0
v6,7.3,100,100,0.0
v6,7.2,100,100,0.0
v6,7.1,100,100,0.0
v6,7.0,100,100,0.0
v6,6.9,101,100,0.0
v6,6.8,100,100,0.0
v6,6.7,100,100,0.0
v6,6.6,100,100,0.0
v6,6.5,99,100,0.010000000000000009
v6,6.4,99,100,0.010000000000000009
v6,6.3,101,100,0.0
v6,6.2,100,100,0.0
v6,6.1,100,100,0.0
v6,6.0,100,100,0.0
v6,5.9,100,100,0.0
v6,5.8,100,100,0.0
v6,5.7,100,100,0.0
v6,5.6,101,100,0.0
v6,5.5,100,100,0.0
v6,5.4,100,100,0.0
v6,5.3,100,100,0.0
v6,5.2,100,100,0.0
v6,5.1,100,100,0.0
v6,5.0,100,100,0.0
v6,4.9,101,100,0.0
v6,4.8,100,100,0.0
v6,4.7,100,100,0.0
v6,4.6,100,100,0.0
v6,4.5,100,100,0.0
v6,4.4,100,100,0.0
v6,4.3,0,100,1.0
v6,4.2,100,100,0.0
v6,4.1,100,100,0.0
v6,4.0,101,100,0.0
v6,3.9,100,100,0.0
v6,3.8,100,100,0.0
v6,3.7,100,100,0.0
