idx,t_rel_s,delta_ms,len,version,payload_prefix
1,4.693454929,NaN,30,v4,88000000ffffffffffffa8dd9f4dc5b5
2,4.704771339,11.316410,30,v4,88000000ffffffffffffa8dd9f4dc5b5
3,4.717115008,12.343669,30,v4,88000000ffffffffffffa8dd9f4dc5b5
4,4.725303995,8.188987,30,v4,88000000ffffffffffffa8dd9f4dc5b5
5,4.736502487,11.198492,30,v4,88000000ffffffffffffa8dd9f4dc5b5
6,4.746645545,10.143058,30,v4,88000000ffffffffffffa8dd9f4dc5b5
7,4.756846130,10.200585,30,v4,88000000ffffffffffffa8dd9f4dc5b5
8,4.768232920,11.386790,30,v4,88000000ffffffffffffa8dd9f4dc5b5
9,4.779609906,11.376986,30,v4,88000000ffffffffffffa8dd9f4dc5b5
10,4.789354282,9.744376,30,v4,88000000ffffffffffffa8dd9f4dc5b5
11,4.799515585,10.161303,30,v4,88000000ffffffffffffa8dd9f4dc5b5
12,4.810774846,11.259261,30,v4,88000000ffffffffffffa8dd9f4dc5b5
13,4.822947860,12.173014,30,v4,88000000ffffffffffffa8dd9f4dc5b5
14,4.833204404,10.256544,30,v4,88000000ffffffffffffa8dd9f4dc5b5
15,4.844355777,11.151373,30,v4,88000000ffffffffffffa8dd9f4dc5b5
16,4.854597046,10.241269,30,v4,88000000ffffffffffffa8dd9f4dc5b5
17,4.864638063,10.041017,30,v4,88000000ffffffffffffa8dd9f4dc5b5
18,4.875858725,11.220662,30,v4,88000000ffffffffffffa8dd9f4dc5b5
19,4.887349059,11.490334,30,v4,88000000ffffffffffffa8dd9f4dc5b5
20,4.897312905,9.963846,30,v4,88000000ffffffffffffa8dd9f4dc5b5
21,4.908541371,11.228466,30,v4,88000000ffffffffffffa8dd9f4dc5b5
22,4.918462343,9.920972,30,v4,88000000ffffffffffffa8dd9f4dc5b5
23,4.929850793,11.388450,30,v4,88000000ffffffffffffa8dd9f4dc5b5
24,4.939838281,9.987488,30,v4,88000000ffffffffffffa8dd9f4dc5b5
25,4.951980682,12.142401,30,v4,88000000ffffffffffffa8dd9f4dc5b5
26,4.962328958,10.348276,30,v4,88000000ffffffffffffa8dd9f4dc5b5
27,4.972293144,9.964186,30,v4,88000000ffffffffffffa8dd9f4dc5b5
28,4.983406208,11.113064,30,v4,88000000ffffffffffffa8dd9f4dc5b5
29,4.994573339,11.167131,30,v4,88000000ffffffffffffa8dd9f4dc5b5
30,5.004661637,10.088298,30,v4,88000000ffffffffffffa8dd9f4dc5b5
31,5.015822156,11.160519,30,v4,88000000ffffffffffffa8dd9f4dc5b5
32,5.026301971,10.479815,30,v4,88000000ffffffffffffa8dd9f4dc5b5
33,5.037255729,10.953758,30,v4,88000000ffffffffffffa8dd9f4dc5b5
34,5.047766198,10.510469,30,v4,88000000ffffffffffffa8dd9f4dc5b5
35,5.058559269,10.793071,30,v4,88000000ffffffffffffa8dd9f4dc5b5
36,5.069017278,10.458009,30,v4,88000000ffffffffffffa8dd9f4dc5b5
37,5.080947139,11.929861,30,v4,88000000ffffffffffffa8dd9f4dc5b5
38,5.091197005,10.249866,30,v4,88000000ffffffffffffa8dd9f4dc5b5
39,5.102361918,11.164913,30,v4,88000000ffffffffffffa8dd9f4dc5b5
40,5.112794282,10.432364,30,v4,88000000ffffffffffffa8dd9f4dc5b5
41,5.123742724,10.948442,30,v4,88000000ffffffffffffa8dd9f4dc5b5
42,5.133811822,10.069098,30,v4,88000000ffffffffffffa8dd9f4dc5b5
43,5.145072576,11.260754,30,v4,88000000ffffffffffffa8dd9f4dc5b5
44,5.156235326,11.162750,30,v4,88000000ffffffffffffa8dd9f4dc5b5
45,5.166315782,10.080456,30,v4,88000000ffffffffffffa8dd9f4dc5b5
46,5.176471850,10.156068,30,v4,88000000ffffffffffffa8dd9f4dc5b5
47,5.187821752,11.349902,30,v4,88000000ffffffffffffa8dd9f4dc5b5
48,5.197925557,10.103805,30,v4,88000000ffffffffffffa8dd9f4dc5b5
49,5.209974499,12.048942,30,v4,88000000ffffffffffffa8dd9f4dc5b5
50,5.220328547,10.354048,30,v4,88000000ffffffffffffa8dd9f4dc5b5
51,5.231365123,11.036576,30,v4,88000000ffffffffffffa8dd9f4dc5b5
52,5.242761992,11.396869,30,v4,88000000ffffffffffffa8dd9f4dc5b5
53,5.252609557,9.847565,30,v4,88000000ffffffffffffa8dd9f4dc5b5
54,5.262842156,10.232599,30,v4,88000000ffffffffffffa8dd9f4dc5b5
55,5.274047883,11.205727,30,v4,88000000ffffffffffffa8dd9f4dc5b5
56,5.284184299,10.136416,30,v4,88000000ffffffffffffa8dd9f4dc5b5
57,5.295447262,11.262963,30,v4,88000000ffffffffffffa8dd9f4dc5b5
58,5.305515794,10.068532,30,v4,88000000ffffffffffffa8dd9f4dc5b5
59,5.316799679,11.283885,30,v4,88000000ffffffffffffa8dd9f4dc5b5
60,5.326875320,10.075641,30,v4,88000000ffffffffffffa8dd9f4dc5b5
61,5.339222041,12.346721,30,v4,88000000ffffffffffffa8dd9f4dc5b5
62,5.349230182,10.008141,30,v4,88000000ffffffffffffa8dd9f4dc5b5
63,5.360365863,11.135681,30,v4,88000000ffffffffffffa8dd9f4dc5b5
64,5.370511643,10.145780,30,v4,88000000ffffffffffffa8dd9f4dc5b5
65,5.381811528,11.299885,30,v4,88000000ffffffffffffa8dd9f4dc5b5
66,5.391793733,9.982205,30,v4,88000000ffffffffffffa8dd9f4dc5b5
67,5.403026175,11.232442,30,v4,88000000ffffffffffffa8dd9f4dc5b5
68,5.413189400,10.163225,30,v4,88000000ffffffffffffa8dd9f4dc5b5
69,5.424399771,11.210371,30,v4,88000000ffffffffffffa8dd9f4dc5b5
70,5.434402485,10.002714,30,v4,88000000ffffffffffffa8dd9f4dc5b5
71,5.445639210,11.236725,30,v4,88000000ffffffffffffa8dd9f4dc5b5
72,5.455871250,10.232040,30,v4,88000000ffffffffffffa8dd9f4dc5b5
73,5.468198235,12.326985,30,v4,88000000ffffffffffffa8dd9f4dc5b5
74,5.478212795,10.014560,30,v4,88000000ffffffffffffa8dd9f4dc5b5
75,5.489320433,11.107638,30,v4,88000000ffffffffffffa8dd9f4dc5b5
76,5.499454929,10.134496,30,v4,88000000ffffffffffffa8dd9f4dc5b5
77,5.510704023,11.249094,30,v4,88000000ffffffffffffa8dd9f4dc5b5
78,5.521134323,10.430300,30,v4,88000000ffffffffffffa8dd9f4dc5b5
79,5.532149868,11.015545,30,v4,88000000ffffffffffffa8dd9f4dc5b5
80,5.542246614,10.096746,30,v4,88000000ffffffffffffa8dd9f4dc5b5
81,5.553679169,11.432555,30,v4,88000000ffffffffffffa8dd9f4dc5b5
82,5.563472760,9.793591,30,v4,88000000ffffffffffffa8dd9f4dc5b5
83,5.574862841,11.390081,30,v4,88000000ffffffffffffa8dd9f4dc5b5
84,5.584870820,10.007979,30,v4,88000000ffffffffffffa8dd9f4dc5b5
85,5.596988123,12.117303,30,v4,88000000ffffffffffffa8dd9f4dc5b5
86,5.607195289,10.207166,30,v4,88000000ffffffffffffa8dd9f4dc5b5
87,5.618369505,11.174216,30,v4,88000000ffffffffffffa8dd9f4dc5b5
88,5.628486915,10.117410,30,v4,88000000ffffffffffffa8dd9f4dc5b5
89,5.639786880,11.299965,30,v4,88000000ffffffffffffa8dd9f4dc5b5
90,5.650196234,10.409354,30,v4,88000000ffffffffffffa8dd9f4dc5b5
91,5.661189816,10.993582,30,v4,88000000ffffffffffffa8dd9f4dc5b5
92,5.671499024,10.309208,30,v4,88000000ffffffffffffa8dd9f4dc5b5
93,5.682401897,10.902873,30,v4,88000000ffffffffffffa8dd9f4dc5b5
94,5.692642336,10.240439,30,v4,88000000ffffffffffffa8dd9f4dc5b5
95,5.703749153,11.106817,30,v4,88000000ffffffffffffa8dd9f4dc5b5
96,5.713862101,10.112948,30,v4,88000000ffffffffffffa8dd9f4dc5b5
97,5.726544971,12.682870,30,v4,88000000ffffffffffffa8dd9f4dc5b5
98,5.736174003,9.629032,30,v4,88000000ffffffffffffa8dd9f4dc5b5
99,5.747369184,11.195181,30,v4,88000000ffffffffffffa8dd9f4dc5b5
100,5.757613624,10.244440,30,v4,88000000ffffffffffffa8dd9f4dc5b5
101,6.111992916,354.379292,30,v4,88000000ffffffffffffa8dd9f4dc5b5
102,6.121224816,9.231900,30,v4,88000000ffffffffffffa8dd9f4dc5b5
103,6.131431779,10.206963,30,v4,88000000ffffffffffffa8dd9f4dc5b5
104,6.142609594,11.177815,30,v4,88000000ffffffffffffa8dd9f4dc5b5
105,6.153216565,10.606971,30,v4,88000000ffffffffffffa8dd9f4dc5b5
106,6.164086123,10.869558,30,v4,88000000ffffffffffffa8dd9f4dc5b5
107,6.174170496,10.084373,30,v4,88000000ffffffffffffa8dd9f4dc5b5
108,6.184194339,10.023843,30,v4,88000000ffffffffffffa8dd9f4dc5b5
109,6.195440196,11.245857,30,v4,88000000ffffffffffffa8dd9f4dc5b5
110,6.205649932,10.209736,30,v4,88000000ffffffffffffa8dd9f4dc5b5
111,6.217115035,11.465103,30,v4,88000000ffffffffffffa8dd9f4dc5b5
112,6.229195614,12.080579,30,v4,88000000ffffffffffffa8dd9f4dc5b5
113,6.239147953,9.952339,30,v4,88000000ffffffffffffa8dd9f4dc5b5
114,6.249389779,10.241826,30,v4,88000000ffffffffffffa8dd9f4dc5b5
115,6.259901134,10.511355,30,v4,88000000ffffffffffffa8dd9f4dc5b5
116,6.270834697,10.933563,30,v4,88000000ffffffffffffa8dd9f4dc5b5
117,6.281233345,10.398648,30,v4,88000000ffffffffffffa8dd9f4dc5b5
118,6.291004523,9.771178,30,v4,88000000ffffffffffffa8dd9f4dc5b5
119,6.302287186,11.282663,30,v4,88000000ffffffffffffa8dd9f4dc5b5
120,6.312383534,10.096348,30,v4,88000000ffffffffffffa8dd9f4dc5b5
121,6.323519350,11.135816,30,v4,88000000ffffffffffffa8dd9f4dc5b5
122,6.333703897,10.184547,30,v4,88000000ffffffffffffa8dd9f4dc5b5
123,6.344036215,10.332318,30,v4,88000000ffffffffffffa8dd9f4dc5b5
124,6.355169480,11.133265,30,v4,88000000ffffffffffffa8dd9f4dc5b5
125,6.365184736,10.015256,30,v4,88000000ffffffffffffa8dd9f4dc5b5
126,6.377620902,12.436166,30,v4,88000000ffffffffffffa8dd9f4dc5b5
127,6.387647047,10.026145,30,v4,88000000ffffffffffffa8dd9f4dc5b5
128,6.397758760,10.111713,30,v4,88000000ffffffffffffa8dd9f4dc5b5
129,6.409082549,11.323789,30,v4,88000000ffffffffffffa8dd9f4dc5b5
130,6.418900586,9.818037,30,v4,88000000ffffffffffffa8dd9f4dc5b5
131,6.430191850,11.291264,30,v4,88000000ffffffffffffa8dd9f4dc5b5
132,6.440382578,10.190728,30,v4,88000000ffffffffffffa8dd9f4dc5b5
133,6.450501052,10.118474,30,v4,88000000ffffffffffffa8dd9f4dc5b5
134,6.461640376,11.139324,30,v4,88000000ffffffffffffa8dd9f4dc5b5
135,6.471866137,10.225761,30,v4,88000000ffffffffffffa8dd9f4dc5b5
136,6.483111657,11.245520,30,v4,88000000ffffffffffffa8dd9f4dc5b5
137,6.493242506,10.130849,30,v4,88000000ffffffffffffa8dd9f4dc5b5
138,6.504325367,11.082861,30,v4,88000000ffffffffffffa8dd9f4dc5b5
139,6.515507840,11.182473,30,v4,88000000ffffffffffffa8dd9f4dc5b5
140,6.525727444,10.219604,30,v4,88000000ffffffffffffa8dd9f4dc5b5
141,6.537165836,11.438392,30,v4,88000000ffffffffffffa8dd9f4dc5b5
142,6.546974236,9.808400,30,v4,88000000ffffffffffffa8dd9f4dc5b5
143,6.558082292,11.108056,30,v4,88000000ffffffffffffa8dd9f4dc5b5
144,6.568319163,10.236871,30,v4,88000000ffffffffffffa8dd9f4dc5b5
145,6.578431075,10.111912,30,v4,88000000ffffffffffffa8dd9f4dc5b5
146,6.589654562,11.223487,30,v4,88000000ffffffffffffa8dd9f4dc5b5
147,6.599879414,10.224852,30,v4,88000000ffffffffffffa8dd9f4dc5b5
148,6.611077949,11.198535,30,v4,88000000ffffffffffffa8dd9f4dc5b5
149,6.621753088,10.675139,30,v4,88000000ffffffffffffa8dd9f4dc5b5
150,6.631325053,9.571965,30,v4,88000000ffffffffffffa8dd9f4dc5b5
151,6.643709939,12.384886,30,v4,88000000ffffffffffffa8dd9f4dc5b5
152,6.655687279,11.977340,30,v4,88000000ffffffffffffa8dd9f4dc5b5
153,6.665078341,9.391062,30,v4,88000000ffffffffffffa8dd9f4dc5b5
