idx,t_rel_s,delta_ms,len,version,payload_prefix
1,3.551189097,NaN,30,v6,88000000ffffffffffffa8dd9f4dc5b5
2,3.561341634,10.152537,30,v6,88000000ffffffffffffa8dd9f4dc5b5
3,3.572604851,11.263217,30,v6,88000000ffffffffffffa8dd9f4dc5b5
4,3.582764579,10.159728,30,v6,88000000ffffffffffffa8dd9f4dc5b5
5,3.593816170,11.051591,30,v6,88000000ffffffffffffa8dd9f4dc5b5
6,3.603970332,10.154162,30,v6,88000000ffffffffffffa8dd9f4dc5b5
7,3.615222950,11.252618,30,v6,88000000ffffffffffffa8dd9f4dc5b5
8,3.625354539,10.131589,30,v6,88000000ffffffffffffa8dd9f4dc5b5
9,3.635650195,10.295656,30,v6,88000000ffffffffffffa8dd9f4dc5b5
10,3.647848002,12.197807,30,v6,88000000ffffffffffffa8dd9f4dc5b5
11,3.658049846,10.201844,30,v6,88000000ffffffffffffa8dd9f4dc5b5
12,3.669045574,10.995728,30,v6,88000000ffffffffffffa8dd9f4dc5b5
13,3.680542447,11.496873,30,v6,88000000ffffffffffffa8dd9f4dc5b5
14,3.690525844,9.983397,30,v6,88000000ffffffffffffa8dd9f4dc5b5
15,3.701633032,11.107188,30,v6,88000000ffffffffffffa8dd9f4dc5b5
16,3.711745912,10.112880,30,v6,88000000ffffffffffffa8dd9f4dc5b5
17,3.723151097,11.405185,30,v6,88000000ffffffffffffa8dd9f4dc5b5
18,3.733229479,10.078382,30,v6,88000000ffffffffffffa8dd9f4dc5b5
19,3.744370897,11.141418,30,v6,88000000ffffffffffffa8dd9f4dc5b5
20,3.754360961,9.990064,30,v6,88000000ffffffffffffa8dd9f4dc5b5
21,3.765684436,11.323475,30,v6,88000000ffffffffffffa8dd9f4dc5b5
22,3.776959426,11.274990,30,v6,88000000ffffffffffffa8dd9f4dc5b5
23,3.787976587,11.017161,30,v6,88000000ffffffffffffa8dd9f4dc5b5
24,3.798453654,10.477067,30,v6,88000000ffffffffffffa8dd9f4dc5b5
25,3.809397856,10.944202,30,v6,88000000ffffffffffffa8dd9f4dc5b5
26,3.819572601,10.174745,30,v6,88000000ffffffffffffa8dd9f4dc5b5
27,3.830079140,10.506539,30,v6,88000000ffffffffffffa8dd9f4dc5b5
28,3.840912433,10.833293,30,v6,88000000ffffffffffffa8dd9f4dc5b5
29,3.852004426,11.091993,30,v6,88000000ffffffffffffa8dd9f4dc5b5
30,3.862467978,10.463552,30,v6,88000000ffffffffffffa8dd9f4dc5b5
31,3.873240247,10.772269,30,v6,88000000ffffffffffffa8dd9f4dc5b5
32,3.883625384,10.385137,30,v6,88000000ffffffffffffa8dd9f4dc5b5
