idx,t_rel_s,delta_ms,len,version,payload_prefix
1,8.767527494,NaN,30,v6,88000000ffffffffffffa8dd9f4dc5b5
2,8.778428972,10.901478,30,v6,88000000ffffffffffffa8dd9f4dc5b5
3,8.788550913,10.121941,30,v6,88000000ffffffffffffa8dd9f4dc5b5
4,8.799782153,11.231240,30,v6,88000000ffffffffffffa8dd9f4dc5b5
5,8.809875834,10.093681,30,v6,88000000ffffffffffffa8dd9f4dc5b5
6,8.821147474,11.271640,30,v6,88000000ffffffffffffa8dd9f4dc5b5
7,8.831417124,10.269650,30,v6,88000000ffffffffffffa8dd9f4dc5b5
8,8.842674274,11.257150,30,v6,88000000ffffffffffffa8dd9f4dc5b5
9,8.852753576,10.079302,30,v6,88000000ffffffffffffa8dd9f4dc5b5
10,8.864911806,12.158230,30,v6,88000000ffffffffffffa8dd9f4dc5b5
11,8.875051300,10.139494,30,v6,88000000ffffffffffffa8dd9f4dc5b5
12,8.886353571,11.302271,30,v6,88000000ffffffffffffa8dd9f4dc5b5
13,8.896199222,9.845651,30,v6,88000000ffffffffffffa8dd9f4dc5b5
14,8.907481291,11.282069,30,v6,88000000ffffffffffffa8dd9f4dc5b5
15,8.917675151,10.193860,30,v6,88000000ffffffffffffa8dd9f4dc5b5
16,8.928766682,11.091531,30,v6,88000000ffffffffffffa8dd9f4dc5b5
17,8.940120154,11.353472,30,v6,88000000ffffffffffffa8dd9f4dc5b5
18,8.950181664,10.061510,30,v6,88000000ffffffffffffa8dd9f4dc5b5
19,8.962410173,12.228509,30,v6,88000000ffffffffffffa8dd9f4dc5b5
20,8.972411033,10.000860,30,v6,88000000ffffffffffffa8dd9f4dc5b5
21,8.983674069,11.263036,30,v6,88000000ffffffffffffa8dd9f4dc5b5
22,8.993759925,10.085856,30,v6,88000000ffffffffffffa8dd9f4dc5b5
23,9.005023515,11.263590,30,v6,88000000ffffffffffffa8dd9f4dc5b5
24,9.015320420,10.296905,30,v6,88000000ffffffffffffa8dd9f4dc5b5
