idx,t_rel_s,delta_ms,len,version,payload_prefix
1,1.453880091,NaN,99,v6,1c000000aadd9f4dc5b5687565280000
2,6.715594141,5261.714050,30,v6,88000000ffffffffffffa8dd9f4dc5b5
3,6.725906579,10.312438,30,v6,88000000ffffffffffffa8dd9f4dc5b5
4,6.736873058,10.966479,30,v6,88000000ffffffffffffa8dd9f4dc5b5
5,6.747220208,10.347150,30,v6,88000000ffffffffffffa8dd9f4dc5b5
6,6.758411014,11.190806,30,v6,88000000ffffffffffffa8dd9f4dc5b5
7,6.769774400,11.363386,30,v6,88000000ffffffffffffa8dd9f4dc5b5
8,6.779893663,10.119263,30,v6,88000000ffffffffffffa8dd9f4dc5b5
9,6.792035402,12.141739,30,v6,88000000ffffffffffffa8dd9f4dc5b5
10,6.802121526,10.086124,30,v6,88000000ffffffffffffa8dd9f4dc5b5
11,6.813447358,11.325832,30,v6,88000000ffffffffffffa8dd9f4dc5b5
12,6.823718590,10.271232,30,v6,88000000ffffffffffffa8dd9f4dc5b5
13,6.834881176,11.162586,30,v6,88000000ffffffffffffa8dd9f4dc5b5
14,6.844957113,10.075937,30,v6,88000000ffffffffffffa8dd9f4dc5b5
15,6.856262726,11.305613,30,v6,88000000ffffffffffffa8dd9f4dc5b5
16,6.866108033,9.845307,30,v6,88000000ffffffffffffa8dd9f4dc5b5
17,6.877333676,11.225643,30,v6,88000000ffffffffffffa8dd9f4dc5b5
18,6.887525484,10.191808,30,v6,88000000ffffffffffffa8dd9f4dc5b5
19,6.898796324,11.270840,30,v6,88000000ffffffffffffa8dd9f4dc5b5
20,6.909032455,10.236131,30,v6,88000000ffffffffffffa8dd9f4dc5b5
21,6.920189594,11.157139,30,v6,88000000ffffffffffffa8dd9f4dc5b5
22,6.931142857,10.953263,30,v6,88000000ffffffffffffa8dd9f4dc5b5
23,6.941437096,10.294239,30,v6,88000000ffffffffffffa8dd9f4dc5b5
24,6.952828897,11.391801,30,v6,88000000ffffffffffffa8dd9f4dc5b5
25,6.962838055,10.009158,30,v6,88000000ffffffffffffa8dd9f4dc5b5
26,6.974788696,11.950641,30,v6,88000000ffffffffffffa8dd9f4dc5b5
27,6.985139354,10.350658,30,v6,88000000ffffffffffffa8dd9f4dc5b5
28,6.996105968,10.966614,30,v6,88000000ffffffffffffa8dd9f4dc5b5
29,7.006372160,10.266192,30,v6,88000000ffffffffffffa8dd9f4dc5b5
30,7.017310169,10.938009,30,v6,88000000ffffffffffffa8dd9f4dc5b5
31,7.027744468,10.434299,30,v6,88000000ffffffffffffa8dd9f4dc5b5
32,7.039032294,11.287826,30,v6,88000000ffffffffffffa8dd9f4dc5b5
33,7.048898633,9.866339,30,v6,88000000ffffffffffffa8dd9f4dc5b5
34,7.060188033,11.289400,30,v6,88000000ffffffffffffa8dd9f4dc5b5
35,7.070205602,10.017569,30,v6,88000000ffffffffffffa8dd9f4dc5b5
36,7.081444517,11.238915,30,v6,88000000ffffffffffffa8dd9f4dc5b5
37,7.091742404,10.297887,30,v6,88000000ffffffffffffa8dd9f4dc5b5
38,7.103011353,11.268949,30,v6,88000000ffffffffffffa8dd9f4dc5b5
39,7.114193855,11.182502,30,v6,88000000ffffffffffffa8dd9f4dc5b5
40,7.125007501,10.813646,30,v6,88000000ffffffffffffa8dd9f4dc5b5
41,7.135236381,10.228880,30,v6,88000000ffffffffffffa8dd9f4dc5b5
42,7.146735251,11.498870,30,v6,88000000ffffffffffffa8dd9f4dc5b5
43,7.157892994,11.157743,30,v6,88000000ffffffffffffa8dd9f4dc5b5
44,7.168042582,10.149588,30,v6,88000000ffffffffffffa8dd9f4dc5b5
45,7.178207551,10.164969,30,v6,88000000ffffffffffffa8dd9f4dc5b5
46,7.189164963,10.957412,30,v6,88000000ffffffffffffa8dd9f4dc5b5
47,7.199344963,10.180000,30,v6,88000000ffffffffffffa8dd9f4dc5b5
48,7.210729255,11.384292,30,v6,88000000ffffffffffffa8dd9f4dc5b5
49,7.221803674,11.074419,30,v6,88000000ffffffffffffa8dd9f4dc5b5
50,7.231945973,10.142299,30,v6,88000000ffffffffffffa8dd9f4dc5b5
51,7.243114953,11.168980,30,v6,88000000ffffffffffffa8dd9f4dc5b5
52,7.253121143,10.006190,30,v6,88000000ffffffffffffa8dd9f4dc5b5
53,7.264467035,11.345892,30,v6,88000000ffffffffffffa8dd9f4dc5b5
54,7.275685746,11.218711,30,v6,88000000ffffffffffffa8dd9f4dc5b5
55,7.285835591,10.149845,30,v6,88000000ffffffffffffa8dd9f4dc5b5
56,7.296804011,10.968420,30,v6,88000000ffffffffffffa8dd9f4dc5b5
57,7.307968337,11.164326,30,v6,88000000ffffffffffffa8dd9f4dc5b5
58,7.319232695,11.264358,30,v6,88000000ffffffffffffa8dd9f4dc5b5
59,7.329501420,10.268725,30,v6,88000000ffffffffffffa8dd9f4dc5b5
60,7.340789381,11.287961,30,v6,88000000ffffffffffffa8dd9f4dc5b5
61,7.352018632,11.229251,30,v6,88000000ffffffffffffa8dd9f4dc5b5
62,7.362204673,10.186041,30,v6,88000000ffffffffffffa8dd9f4dc5b5
63,7.373210300,11.005627,30,v6,88000000ffffffffffffa8dd9f4dc5b5
64,7.383069562,9.859262,30,v6,88000000ffffffffffffa8dd9f4dc5b5
65,7.393364646,10.295084,30,v6,88000000ffffffffffffa8dd9f4dc5b5
66,7.404533995,11.169349,30,v6,88000000ffffffffffffa8dd9f4dc5b5
67,7.414549769,10.015774,30,v6,88000000ffffffffffffa8dd9f4dc5b5
68,7.426908921,12.359152,30,v6,88000000ffffffffffffa8dd9f4dc5b5
69,7.436909290,10.000369,30,v6,88000000ffffffffffffa8dd9f4dc5b5
70,7.448332254,11.422964,30,v6,88000000ffffffffffffa8dd9f4dc5b5
71,7.458346245,10.013991,30,v6,88000000ffffffffffffa8dd9f4dc5b5
72,7.468657227,10.310982,30,v6,88000000ffffffffffffa8dd9f4dc5b5
73,7.479686693,11.029466,30,v6,88000000ffffffffffffa8dd9f4dc5b5
74,7.490861428,11.174735,30,v6,88000000ffffffffffffa8dd9f4dc5b5
75,7.500968968,10.107540,30,v6,88000000ffffffffffffa8dd9f4dc5b5
76,7.511284334,10.315366,30,v6,88000000ffffffffffffa8dd9f4dc5b5
77,7.523319586,12.035252,30,v6,88000000ffffffffffffa8dd9f4dc5b5
78,7.533667008,10.347422,30,v6,88000000ffffffffffffa8dd9f4dc5b5
79,7.545902269,12.235261,30,v6,88000000ffffffffffffa8dd9f4dc5b5
80,7.555878617,9.976348,30,v6,88000000ffffffffffffa8dd9f4dc5b5
81,7.567300411,11.421794,30,v6,88000000ffffffffffffa8dd9f4dc5b5
82,7.577239920,9.939509,30,v6,88000000ffffffffffffa8dd9f4dc5b5
83,7.587523135,10.283215,30,v6,88000000ffffffffffffa8dd9f4dc5b5
84,7.598611403,11.088268,30,v6,88000000ffffffffffffa8dd9f4dc5b5
85,7.609984862,11.373459,30,v6,88000000ffffffffffffa8dd9f4dc5b5
86,7.620123591,10.138729,30,v6,88000000ffffffffffffa8dd9f4dc5b5
87,7.631329099,11.205508,30,v6,88000000ffffffffffffa8dd9f4dc5b5
